
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:     1100
Number of nonzeros in Lagrangian Hessian.............:       17

Total number of variables............................:        6
                     variables with only lower bounds:        3
                variables with lower and upper bounds:        1
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:      200
        inequality constraints with only lower bounds:      100
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.8821856e+00 1.71e+03 2.46e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.3315808e+00 1.70e+03 2.46e+00  -1.0 1.85e+02    -  1.84e-03 1.66e-03h  1
   2  2.2937594e+00 1.70e+03 4.20e+01  -1.0 2.56e+02    -  1.68e-03 8.47e-05h  1
   3  1.9820095e+00 1.70e+03 1.32e+01  -1.0 7.93e+01    -  8.24e-04 2.22e-03f  1
   4  1.9237624e+00 1.70e+03 2.13e+01  -1.0 1.75e+01    -  3.57e-03 1.55e-03h  1
   5  1.6225443e+00 1.59e+03 3.26e+01  -1.0 1.78e+01    -  2.84e-02 1.04e-01f  1
   6  6.1175637e+00 1.27e+03 3.17e+01  -1.0 1.53e+01    -  5.98e-02 1.37e-01h  1
   7  1.4596903e+01 5.47e+02 3.98e+01  -1.0 1.12e+01    -  1.19e-01 5.00e-01h  2
   8  1.6285317e+01 6.22e+02 4.77e+01  -1.0 1.64e+02    -  2.78e-01 5.64e-02h  5
   9  1.2907615e+01 4.07e+02 1.98e+02  -1.0 1.01e+01  -2.0 5.46e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.3136569e+01 4.01e+02 1.94e+02  -1.0 7.30e+00   0.2 4.62e-01 1.41e-02h  1
  11  1.4803805e+01 3.56e+02 1.11e+02  -1.0 6.10e+00   0.7 8.80e-03 1.27e-01h  1
  12  1.5076657e+01 3.52e+02 5.34e+02  -1.0 7.82e+00   1.1 3.70e-01 1.24e-02h  1
  13  1.6086906e+01 3.47e+02 5.04e+02  -1.0 2.25e+01   0.6 1.92e-01 1.79e-02h  6
  14  1.7986795e+01 3.29e+02 1.28e+03  -1.0 8.52e+00   1.0 9.88e-01 6.25e-02h  5
  15  2.0185862e+01 3.13e+02 1.54e+03  -1.0 9.29e+00   1.5 1.79e-01 5.84e-02h  4
  16  2.2481438e+01 3.02e+02 1.09e+04  -1.0 1.12e+01   1.9 1.00e+00 4.59e-02h  3
  17  2.2637760e+01 3.02e+02 8.59e+03  -1.0 9.23e+01   1.4 1.69e-01 4.64e-04h  9
  18  2.3396540e+01 3.00e+02 8.60e+03  -1.0 1.91e+01   1.8 3.42e-01 8.96e-03h  7
  19r 2.3396540e+01 3.00e+02 1.00e+03   2.3 0.00e+00   1.4 0.00e+00 4.97e-07R 15
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 2.4765749e+01 1.06e+03 9.99e+02   2.3 1.88e+05    -  1.34e-03 9.89e-04f  1
  21r 2.3452864e+01 1.05e+03 9.98e+02   1.6 1.10e+05    -  1.19e-03 2.09e-03f  1
  22r 2.3748584e+01 1.05e+03 6.87e+02   1.6 9.75e+04    -  5.29e-01 2.29e-03f  1
  23r 7.5151371e+01 1.01e+03 2.57e+03   1.6 7.37e+03    -  2.01e-02 2.89e-01f  1
  24r 5.2530851e+01 8.56e+02 7.74e+04   1.6 5.50e+00   2.0 1.78e-01 5.10e-01f  1
  25r 5.2183553e+01 8.47e+02 7.59e+04   1.6 9.97e+00   1.5 4.21e-01 1.13e-02f  1
  26r 6.0346658e+01 7.17e+02 4.41e+04   1.6 2.74e+01   1.0 1.73e-01 2.30e-01f  1
  27r 7.2361183e+01 7.41e+02 4.29e+04   1.6 6.77e+01   2.4 2.06e-01 1.96e-02f  1
  28r 7.4970387e+01 7.39e+02 4.27e+04   1.6 5.18e+01   2.8 7.36e-03 4.19e-03f  1
  29r 2.6082559e+02 6.50e+03 2.86e+04   1.6 9.76e+01   2.3 5.93e-02 1.05e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 2.3138929e+02 6.26e+03 2.14e+04   1.6 2.56e+01   3.7 4.83e-02 4.05e-02h  1
  31r 2.9427935e+01 6.87e+03 8.89e+04   1.6 2.60e+01   3.2 1.85e-02 2.86e-01h  1
  32r 3.0077487e+01 6.82e+03 8.78e+04   1.6 1.92e+01   4.5 3.58e-03 7.14e-03h  1
  33r 3.0514308e+01 6.79e+03 8.67e+04   1.6 1.91e+01   4.9 8.96e-02 4.11e-03h  1
  34r 3.4013205e+01 6.51e+03 6.77e+04   1.6 1.98e+01   4.5 1.43e-02 4.27e-02h  1
  35r 3.5355357e+01 6.42e+03 8.49e+04   1.6 1.94e+01   4.9 1.69e-01 1.30e-02h  1
  36r 4.2523273e+01 5.89e+03 1.19e+05   1.6 2.36e+01   4.4 7.43e-02 8.56e-02h  1
  37r 4.6037782e+01 5.72e+03 1.26e+05   1.6 4.79e+01   3.9 1.46e-01 2.85e-02h  1
  38r 6.0094807e+01 4.75e+03 2.50e+05   1.6 2.43e+01   4.4 6.55e-01 1.74e-01h  1
  39r 7.4496536e+01 4.18e+03 2.17e+05   1.6 3.75e+01   3.9 7.58e-02 1.17e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 8.8053269e+01 3.10e+03 2.31e+05   1.6 6.28e+00   4.3 4.10e-01 2.62e-01h  1
  41r 8.9518565e+01 2.96e+03 2.22e+05   1.6 8.90e+00   3.8 1.12e-01 4.37e-02f  1
  42r 1.0299077e+02 2.04e+03 5.11e+05   1.6 8.51e+00   4.2 1.97e-01 3.28e-01f  1
  43r 2.4248963e+02 4.08e+03 1.82e+06   1.6 1.84e+01   4.7 7.85e-02 3.56e-01f  1
  44r 2.5675440e+02 3.83e+03 1.72e+06   1.6 9.34e+00   4.2 1.14e-01 6.14e-02h  1
  45r 2.7254648e+02 3.59e+03 1.62e+06   1.6 8.15e+00   3.7 1.60e-01 6.21e-02h  1
  46r 3.2030963e+02 3.05e+03 1.39e+06   1.6 9.83e+00   3.2 1.86e-01 1.53e-01f  1
  47r 3.7047512e+02 2.41e+03 1.14e+06   1.6 4.14e+00   3.7 1.89e-01 2.11e-01h  1
  48r 4.1524512e+02 2.09e+03 9.88e+05   1.6 5.15e+00   3.2 2.95e-01 1.36e-01f  1
  49r 4.4946365e+02 1.81e+03 8.51e+05   1.6 5.10e+00   3.6 2.62e-01 1.37e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 5.2196117e+02 1.58e+03 7.50e+05   1.6 9.12e+00   3.1 2.12e-01 1.28e-01f  1
  51r 5.9856682e+02 1.35e+03 6.43e+05   1.6 7.34e+00   3.6 1.84e-01 1.63e-01f  1
  52r 6.9045507e+02 1.32e+03 6.40e+05   1.6 6.73e+01   3.1 2.33e-02 3.01e-02h  1
  53r 8.1187947e+02 1.15e+03 5.89e+05   1.6 9.00e+00   3.5 3.65e-01 1.48e-01f  1
  54r 1.0062698e+03 1.12e+03 5.86e+05   1.6 8.17e+01   3.0 2.39e-02 4.81e-02h  1
  55r 1.8705241e+03 4.61e+02 5.49e+05   1.6 6.31e+00   3.5 6.60e-01 9.53e-01h  1
  56r 1.8329185e+03 3.80e+02 4.57e+05   1.6 1.24e+00   3.0 9.51e-01 1.83e-01f  1
  57r 1.7513423e+03 2.76e+02 3.42e+05   1.6 4.11e+00   2.5 1.00e+00 2.94e-01f  1
  58r 1.6637326e+03 2.25e+02 2.82e+05   1.6 1.26e+01   2.0 8.64e-01 1.96e-01f  1
  59r 1.6172834e+03 1.95e+02 2.44e+05   1.6 1.27e+01   1.6 6.54e-02 1.39e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.6033611e+03 1.83e+02 2.29e+05   1.6 8.19e+00   1.1 2.34e-01 6.23e-02f  1
  61r 1.4645930e+03 1.56e+02 2.01e+05   1.6 3.80e+01   0.6 6.28e-02 1.27e-01f  1
  62r 1.3760268e+03 1.59e+02 1.97e+05   1.6 1.04e+02   0.1 1.57e-01 1.86e-02H  1
  63r 1.6744346e+03 0.00e+00 3.18e+04   1.6 9.63e+00   0.6 5.81e-01 9.36e-01f  1
  64  1.6038903e+03 1.35e+00 7.14e+01  -1.0 8.01e-01   0.9 3.95e-01 1.00e+00f  1
  65  1.4941770e+03 1.84e+00 5.48e+00  -1.0 2.15e+00   0.4 6.24e-01 1.00e+00f  1
  66  1.2483234e+03 1.10e+01 3.95e+01  -1.0 5.54e+00  -0.1 4.61e-01 1.00e+00f  1
  67  8.9028302e+02 7.77e+00 4.78e+01  -1.0 1.51e+01  -0.6 6.22e-01 6.89e-01f  1
  68  8.8343429e+02 7.40e+00 4.73e+01  -1.0 8.81e+00  -1.0 9.23e-01 1.40e-02f  1
  69  7.8658627e+02 0.00e+00 2.14e+02  -1.0 2.03e+01  -1.5 9.94e-01 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  7.0235158e+02 0.00e+00 2.01e+02  -1.0 8.42e+00  -2.0 1.00e+00 2.50e-01f  3
  71  6.6669947e+02 0.00e+00 1.85e+02  -1.0 8.79e+00  -2.5 1.00e+00 1.25e-01h  4
  72  6.3262165e+02 0.00e+00 1.71e+02  -1.0 9.48e+00  -2.9 1.00e+00 1.25e-01h  4
  73  6.0018396e+02 0.00e+00 1.58e+02  -1.0 9.77e+00  -3.4 1.00e+00 1.25e-01h  4
  74  5.6990968e+02 0.00e+00 1.46e+02  -1.0 1.21e+01  -3.9 1.00e+00 1.25e-01h  4
