
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    79599

Total number of variables............................:     3969
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  9.6923077e-02 0.00e+00 1.09e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.2405708e-02 0.00e+00 2.79e-01  -1.0 2.74e-03   2.0 1.00e+00 1.00e+00f  1
   2  1.3073520e-02 0.00e+00 8.84e-02  -1.7 2.40e-03   1.5 1.00e+00 1.00e+00f  1
   3  6.0169568e-03 0.00e+00 3.36e-02  -2.5 2.20e-03   1.0 1.00e+00 1.00e+00f  1
   4  2.8953979e-03 0.00e+00 2.76e-02  -2.5 2.64e-03   0.6 1.00e+00 1.00e+00f  1
   5  1.4177079e-03 0.00e+00 3.57e-02  -3.8 2.94e-03   0.1 1.00e+00 1.00e+00f  1
   6  7.0260814e-04 0.00e+00 3.73e-02  -3.8 3.35e-03  -0.4 1.00e+00 1.00e+00f  1
   7  3.5451210e-04 0.00e+00 3.73e-02  -3.8 3.94e-03  -0.9 1.00e+00 1.00e+00f  1
   8  1.8403434e-04 0.00e+00 3.06e-02  -3.8 4.33e-03  -1.3 1.00e+00 1.00e+00f  1
   9  1.5617055e-04 0.00e+00 2.70e-02  -3.8 8.37e-01    -  1.00e+00 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  8.6925750e-05 0.00e+00 2.18e-02  -3.8 4.68e-03  -1.8 1.00e+00 1.00e+00f  1
  11  5.2041057e-05 0.00e+00 1.57e-02  -3.8 4.53e-03  -2.3 1.00e+00 1.00e+00f  1
  12  3.4724172e-05 0.00e+00 1.39e-02  -3.8 5.22e-03  -2.8 1.00e+00 1.00e+00f  1
  13  2.3671831e-05 0.00e+00 7.69e-03  -3.8 4.35e-03  -3.2 1.00e+00 1.00e+00f  1
  14  1.7008544e-05 0.00e+00 9.57e-03  -3.8 6.28e-03  -3.7 1.00e+00 1.00e+00f  1
  15  1.1916540e-05 0.00e+00 2.76e-03  -3.8 8.66e-03  -4.2 1.00e+00 1.00e+00f  1
  16  9.1144356e-06 0.00e+00 8.66e-03  -3.8 9.96e-03  -4.7 1.00e+00 1.00e+00f  1
  17  8.1330707e-06 0.00e+00 1.01e-03  -3.8 2.17e-02    -  1.00e+00 1.00e+00f  1
  18  5.5947077e-06 0.00e+00 2.04e-03  -5.7 2.31e-02  -4.3 1.00e+00 5.00e-01f  2
  19  5.4535127e-06 0.00e+00 1.19e-03  -5.7 2.14e-02  -4.7 1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.8257600e-06 0.00e+00 6.80e-04  -5.7 3.49e-03  -4.3 1.00e+00 1.00e+00f  1
  21  3.6402260e-06 0.00e+00 8.06e-04  -5.7 2.25e-02    -  1.00e+00 5.00e-01f  2
  22  3.0750580e-06 0.00e+00 1.05e-03  -5.7 4.22e-03    -  1.00e+00 1.00e+00f  1
  23  2.8002997e-06 0.00e+00 2.26e-04  -5.7 4.46e-03    -  1.00e+00 1.00e+00f  1
  24  2.6852575e-06 0.00e+00 9.46e-04  -5.7 7.66e-03    -  1.00e+00 5.00e-01f  2
  25  2.4652554e-06 0.00e+00 1.52e-04  -5.7 2.49e-03    -  1.00e+00 1.00e+00f  1
  26  2.3994969e-06 0.00e+00 8.97e-04  -5.7 8.09e-03    -  1.00e+00 5.00e-01f  2
  27  2.2074983e-06 0.00e+00 1.28e-04  -5.7 2.13e-03    -  1.00e+00 1.00e+00f  1
  28  2.1941582e-06 0.00e+00 1.04e-03  -5.7 9.41e-03    -  1.00e+00 5.00e-01f  2
  29  1.9747893e-06 0.00e+00 6.36e-05  -5.7 1.97e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.9048102e-06 0.00e+00 4.81e-04  -5.7 1.46e-02    -  1.00e+00 2.50e-01f  3
  31  1.7868598e-06 0.00e+00 1.57e-04  -5.7 2.98e-03    -  1.00e+00 1.00e+00f  1
  32  1.7196624e-06 0.00e+00 3.05e-04  -5.7 6.49e-03    -  1.00e+00 5.00e-01f  2
  33  1.6207538e-06 0.00e+00 2.47e-04  -5.7 3.97e-03    -  1.00e+00 1.00e+00f  1
  34  1.5386942e-06 0.00e+00 3.74e-04  -5.7 4.66e-03    -  1.00e+00 1.00e+00f  1
  35  1.4396583e-06 0.00e+00 1.51e-04  -5.7 3.98e-03    -  1.00e+00 1.00e+00f  1
  36  1.3819910e-06 0.00e+00 2.57e-04  -5.7 7.27e-03    -  1.00e+00 5.00e-01f  2
  37  1.2989967e-06 0.00e+00 2.26e-04  -5.7 5.20e-03    -  1.00e+00 1.00e+00f  1
  38  1.2226833e-06 0.00e+00 2.15e-04  -5.7 4.53e-03    -  1.00e+00 1.00e+00f  1
  39  1.1485423e-06 0.00e+00 1.61e-04  -5.7 5.35e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.0911496e-06 0.00e+00 2.42e-04  -5.7 4.29e-03    -  1.00e+00 1.00e+00f  1
  41  1.0234400e-06 0.00e+00 9.57e-05  -5.7 4.97e-03    -  1.00e+00 1.00e+00f  1
  42  9.8657821e-07 0.00e+00 1.85e-04  -5.7 5.45e-03    -  1.00e+00 5.00e-01f  2
  43  9.3552533e-07 0.00e+00 9.61e-05  -5.7 3.62e-03    -  1.00e+00 1.00e+00f  1
  44  9.2007112e-07 0.00e+00 2.51e-04  -5.7 4.22e-03    -  1.00e+00 1.00e+00f  1
  45  8.5694889e-07 0.00e+00 2.41e-05  -5.7 3.19e-03    -  1.00e+00 1.00e+00f  1
  46  8.3429865e-07 0.00e+00 1.01e-04  -5.7 1.35e-02    -  1.00e+00 2.50e-01f  3
  47  8.0095108e-07 0.00e+00 4.88e-05  -5.7 3.75e-03    -  1.00e+00 1.00e+00f  1
  48  8.0073131e-07 0.00e+00 1.60e-04  -5.7 8.33e-03    -  1.00e+00 1.00e+00f  1
  49  7.2756092e-07 0.00e+00 1.79e-05  -5.7 5.33e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  7.0483192e-07 0.00e+00 7.03e-05  -8.6 1.05e-01    -  1.00e+00 6.25e-02f  5
  51  6.5140366e-07 0.00e+00 8.49e-05  -8.6 1.63e-02    -  1.00e+00 5.00e-01f  2
  52  6.3276133e-07 0.00e+00 1.02e-04  -8.6 9.18e-03    -  1.00e+00 1.00e+00f  1
  53  5.8112582e-07 0.00e+00 8.11e-05  -8.6 3.68e-02    -  1.00e+00 2.50e-01f  3
  54  5.0187245e-07 0.00e+00 7.80e-05  -8.6 7.14e-03    -  1.00e+00 1.00e+00f  1
  55  4.6592893e-07 0.00e+00 1.18e-04  -8.6 1.12e-02    -  1.00e+00 1.00e+00f  1
  56  4.0671401e-07 0.00e+00 6.51e-05  -8.6 7.23e-03    -  1.00e+00 1.00e+00f  1
  57  3.7499309e-07 0.00e+00 8.32e-05  -8.6 1.62e-02    -  1.00e+00 5.00e-01f  2
  58  3.3114364e-07 0.00e+00 8.98e-05  -8.6 4.94e-03    -  1.00e+00 1.00e+00f  1
  59  3.1235534e-07 0.00e+00 6.79e-05  -8.6 1.98e-02    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.6908882e-07 0.00e+00 8.08e-05  -8.6 4.88e-03    -  1.00e+00 1.00e+00f  1
  61  2.6048394e-07 0.00e+00 6.74e-05  -8.6 4.20e-02    -  1.00e+00 2.50e-01f  3
  62  2.1103604e-07 0.00e+00 6.34e-05  -8.6 6.76e-03    -  1.00e+00 1.00e+00f  1
  63  2.0413255e-07 0.00e+00 4.72e-05  -8.6 2.64e-02    -  1.00e+00 5.00e-01f  2
  64  1.3909968e-07 0.00e+00 8.95e-05  -8.6 8.64e-03    -  1.00e+00 1.00e+00f  1
  65  1.2251600e-07 0.00e+00 5.60e-05  -8.6 1.22e-02    -  1.00e+00 1.00e+00f  1
  66  1.1690921e-07 0.00e+00 4.90e-05  -8.6 1.36e-02    -  1.00e+00 1.25e-01f  4
  67  1.0212885e-07 0.00e+00 1.64e-05  -8.6 3.44e-03    -  1.00e+00 1.00e+00f  1
  68  1.0051025e-07 0.00e+00 1.78e-05  -8.6 2.55e-03    -  1.00e+00 5.00e-01f  2
  69  9.8403737e-08 0.00e+00 1.44e-05  -8.6 1.44e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  9.6580579e-08 0.00e+00 1.21e-05  -8.6 1.67e-03    -  1.00e+00 1.00e+00f  1
  71  9.4759339e-08 0.00e+00 9.52e-06  -8.6 1.40e-03    -  1.00e+00 1.00e+00f  1
  72  9.3267331e-08 0.00e+00 1.45e-05  -8.6 1.94e-03    -  1.00e+00 1.00e+00f  1
  73  9.1457702e-08 0.00e+00 5.78e-06  -8.6 1.12e-03    -  1.00e+00 1.00e+00f  1
  74  9.0400185e-08 0.00e+00 1.14e-05  -8.6 2.90e-03    -  1.00e+00 5.00e-01f  2
  75  8.8855758e-08 0.00e+00 8.72e-06  -8.6 1.43e-03    -  1.00e+00 1.00e+00f  1
  76  8.7585663e-08 0.00e+00 1.38e-05  -8.6 1.79e-03    -  1.00e+00 1.00e+00f  1
