
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:     4606
Number of nonzeros in Lagrangian Hessian.............:     1154

Total number of variables............................:       94
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:      625
        inequality constraints with only lower bounds:      625
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.0268888e+01 3.75e+00 1.37e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  5.0271438e+01 3.75e+00 1.31e+01  -1.0 3.74e+00   2.0 3.93e-02 2.65e-03h  1
   2  5.0274910e+01 3.75e+00 1.86e+02  -1.0 2.91e+01   1.5 5.89e-04 4.97e-05h  1
   3  5.0290106e+01 3.75e+00 3.55e+02  -1.0 7.97e+01   1.9 2.07e-04 8.39e-05h  1
   4r 5.0290106e+01 3.75e+00 9.99e+02   0.6 0.00e+00   3.3 0.00e+00 2.83e-07R  6
   5r 5.0550793e+01 3.75e+00 9.99e+02   0.6 1.44e+03    -  2.62e-04 1.15e-04f  1
   6r 5.0949641e+01 3.75e+00 9.98e+02   0.6 6.69e+02   0.0 1.23e-03 1.01e-03f  1
   7r 5.1016050e+01 3.75e+00 9.98e+02   0.6 5.44e+01   1.3 1.03e-02 2.92e-03f  1
   8r 5.1143109e+01 3.75e+00 1.01e+03   0.6 1.93e+01   1.8 7.39e-01 1.21e-02f  1
   9r 5.2480599e+01 3.74e+00 9.99e+02   0.6 7.01e+00   2.2 1.45e-01 1.88e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 5.2729044e+01 3.74e+00 9.42e+02   0.6 2.46e+00   2.6 1.45e-01 1.41e-01f  1
  11r 5.2724622e+01 3.74e+00 8.16e+02   0.6 7.57e-01   3.0 6.13e-01 5.69e-01f  1
  12r 5.2676204e+01 3.75e+00 8.17e+02   0.6 2.96e-01   3.5 6.06e-01 1.74e-01f  1
  13r 5.2842019e+01 3.75e+00 8.13e+02   0.6 8.94e-01   3.0 3.27e-01 2.55e-01f  1
  14r 5.2829010e+01 3.75e+00 7.34e+02   0.6 2.89e-01   3.4 1.00e+00 1.94e-01f  1
  15r 5.3190360e+01 3.74e+00 7.65e+02   0.6 1.20e+00   2.9 8.74e-02 3.17e-01f  1
  16r 5.3205087e+01 3.74e+00 6.43e+02   0.6 2.87e-01   3.4 4.69e-01 3.94e-01f  1
  17r 5.3308731e+01 3.73e+00 6.34e+02   0.6 2.01e+00   2.9 3.10e-01 8.83e-02f  1
  18r 5.3362445e+01 3.73e+00 6.31e+02   0.6 3.71e-01   3.3 3.20e-01 2.50e-01f  1
  19r 5.4022735e+01 3.71e+00 1.60e+03   0.6 2.50e+00   2.8 1.58e-01 3.00e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 5.4026298e+01 3.71e+00 1.55e+03   0.6 4.20e-01   3.3 3.93e-01 3.28e-02f  1
  21r 5.4446509e+01 3.70e+00 1.45e+03   0.6 1.67e+00   2.8 7.44e-02 2.16e-01f  1
  22r 5.4508862e+01 3.71e+00 9.39e+02   0.6 5.11e-01   3.2 3.02e-01 3.09e-01f  1
  23r 5.4601014e+01 3.70e+00 8.97e+02   0.6 1.51e+00   2.7 3.07e-01 5.50e-02f  1
  24r 5.4989174e+01 3.70e+00 1.22e+03   0.6 4.67e-01   3.2 1.88e-01 7.99e-01f  1
  25r 5.5054679e+01 3.70e+00 9.37e+02   0.6 1.71e+00   2.7 3.54e-01 3.55e-02f  1
  26r 5.5268511e+01 3.72e+00 7.45e+02   0.6 5.43e-01   3.1 1.34e-01 3.53e-01f  1
  27r 5.5396694e+01 3.72e+00 6.44e+02   0.6 1.96e+00   2.6 5.09e-01 5.93e-02f  1
  28r 5.5504756e+01 3.72e+00 6.51e+02   0.6 6.12e-01   3.0 2.10e-01 1.84e-01f  1
  29r 5.5848517e+01 3.72e+00 6.35e+02   0.6 2.34e+00   2.6 2.10e-01 1.22e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 5.5913525e+01 3.72e+00 6.13e+02   0.6 5.73e-01   3.0 3.28e-01 1.15e-01f  1
  31r 5.6503426e+01 3.68e+00 6.11e+02   0.6 3.09e+00   2.5 8.49e-02 1.65e-01f  1
  32r 5.6540457e+01 3.68e+00 5.33e+02   0.6 6.78e-01   2.9 1.81e-01 8.26e-02f  1
  33r 5.6926108e+01 3.63e+00 5.38e+02   0.6 2.94e+00   2.5 1.51e-01 1.29e-01f  1
  34r 5.6950548e+01 3.63e+00 5.10e+02   0.6 8.17e-01   2.9 2.25e-01 5.99e-02f  1
  35r 5.7195203e+01 3.65e+00 5.34e+02   0.6 3.15e+00   2.4 9.03e-02 8.00e-02f  1
  36r 5.7245672e+01 3.67e+00 4.99e+02   0.6 8.39e-01   2.8 3.99e-01 1.22e-01f  1
  37r 5.7443894e+01 3.69e+00 4.84e+02   0.6 4.02e+00   2.4 9.31e-02 6.43e-02f  1
  38r 5.7469393e+01 3.70e+00 4.80e+02   0.6 7.48e-01   2.8 2.42e-01 7.12e-02f  1
  39r 5.7929157e+01 3.73e+00 5.04e+02   0.6 5.62e+00   2.3 1.10e-02 8.59e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 5.7931902e+01 3.73e+00 4.76e+02   0.6 8.68e-01   2.7 2.33e-01 2.30e-02f  1
  41r 5.7842300e+01 3.74e+00 4.97e+02   0.6 3.21e-01   3.2 1.55e-01 3.13e-01f  1
  42r 5.8153872e+01 3.75e+00 6.17e+02   0.6 7.32e-01   2.7 2.13e-01 4.54e-01f  1
  43r 5.8357203e+01 3.76e+00 5.10e+02   0.6 3.93e+00   2.2 1.55e-01 5.61e-02f  1
  44r 5.8788794e+01 3.77e+00 3.78e+02   0.6 8.22e-01   2.6 3.46e-01 4.65e-01f  1
  45r 5.9013197e+01 3.77e+00 3.69e+02   0.6 6.49e+00   2.2 1.53e-01 5.37e-02f  1
  46r 5.9224992e+01 3.76e+00 3.72e+02   0.6 1.08e+00   2.6 5.66e-01 2.02e-01f  1
  47r 5.9267553e+01 3.76e+00 3.57e+02   0.6 1.33e+01   2.1 5.15e-02 9.45e-03f  1
  48r 5.9516826e+01 3.77e+00 3.57e+02   0.6 1.17e+00   2.5 3.92e-01 1.94e-01f  1
  49r 5.9707515e+01 3.78e+00 3.97e+02   0.6 4.46e-01   3.0 6.30e-01 7.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 5.9760733e+01 3.78e+00 3.95e+02   0.6 1.51e+00   2.5 4.88e-01 4.52e-02f  1
  51r 5.9868439e+01 3.78e+00 4.08e+02   0.6 5.30e-01   2.9 4.99e-01 3.64e-01f  1
  52r 6.0231755e+01 3.79e+00 4.08e+02   0.6 1.76e+00   2.4 6.21e-01 2.50e-01f  1
  53r 6.0258549e+01 3.79e+00 4.45e+02   0.6 4.31e-01   2.9 5.91e-01 1.00e-01f  1
  54r 6.0612225e+01 3.78e+00 3.02e+02   0.6 1.54e+00   2.4 9.44e-02 2.41e-01f  1
  55r 6.0678888e+01 3.78e+00 4.86e+02   0.6 4.56e-01   2.8 8.41e-01 2.31e-01f  1
  56r 6.0810286e+01 3.78e+00 4.34e+02   0.6 1.18e+00   2.3 2.52e-01 1.09e-01f  1
  57r 6.1038649e+01 3.77e+00 2.47e+02   0.6 4.30e-01   2.8 1.00e+00 6.01e-01f  1
  58r 6.1261331e+01 3.77e+00 2.33e+02   0.6 1.16e+00   2.3 3.60e-01 1.92e-01f  1
  59r 6.1484892e+01 3.77e+00 2.21e+02   0.6 4.02e-01   2.7 1.00e+00 6.03e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 6.2268636e+01 3.76e+00 2.17e+02   0.6 1.43e+00   2.2 5.80e-01 4.57e-01f  1
  61r 6.2296281e+01 3.76e+00 3.51e+02   0.6 5.40e-01   2.7 8.54e-01 1.29e-01f  1
  62r 6.2530331e+01 3.76e+00 3.03e+02   0.6 1.97e+00   2.2 3.98e-01 1.62e-01f  1
  63r 6.2670163e+01 3.75e+00 2.85e+02   0.6 6.78e-01   2.6 1.00e+00 4.77e-01f  1
  64r 6.2964297e+01 3.75e+00 2.28e+02   0.6 2.25e+00   2.1 4.06e-01 1.81e-01f  1
  65r 6.3187772e+01 3.74e+00 2.32e+02   0.6 5.64e-01   2.6 1.00e+00 6.49e-01f  1
  66r 6.3697283e+01 3.72e+00 2.06e+02   0.6 2.40e+00   2.1 7.12e-01 2.74e-01f  1
  67r 6.3719525e+01 3.72e+00 4.87e+02   0.6 6.83e-01   2.5 1.00e+00 1.12e-01f  1
  68r 6.4114364e+01 3.70e+00 3.55e+02   0.6 2.46e+00   2.0 5.77e-01 2.48e-01f  1
  69r 6.4152430e+01 3.69e+00 4.59e+02   0.6 7.86e-01   2.5 8.77e-01 1.62e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 6.4848275e+01 3.65e+00 3.01e+02   0.6 2.94e+00   2.0 4.29e-01 3.45e-01f  1
  71r 6.4851956e+01 3.65e+00 5.81e+02   0.6 4.09e-01   2.4 1.00e+00 3.40e-02f  1
  72r 6.5591673e+01 3.60e+00 3.80e+02   0.6 1.85e+00   1.9 4.96e-01 3.63e-01f  1
  73r 6.5650446e+01 3.56e+00 1.67e+02   0.6 6.60e-01   2.4 1.00e+00 6.46e-01f  1
  74r 6.5799904e+01 3.54e+00 1.47e+02  -0.1 2.73e+00   1.9 3.36e-01 9.03e-02f  1
