
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     1978
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:      692

Total number of variables............................:      711
                     variables with only lower bounds:      683
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      450
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  0.0000000e+00 8.46e+04 1.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  0.0000000e+00 8.45e+04 1.25e+05  -1.0 2.89e+03    -  9.34e-04 9.82e-04h  1
   2  0.0000000e+00 8.45e+04 1.25e+05  -1.0 4.65e+03    -  9.41e-04 8.85e-05h  1
   3  0.0000000e+00 8.43e+04 1.24e+05  -1.0 4.72e+03    -  1.03e-03 2.46e-03h  1
   4  0.0000000e+00 8.42e+04 1.24e+05  -1.0 3.42e+03    -  1.20e-03 1.65e-03h  1
   5  0.0000000e+00 8.40e+04 1.24e+05  -1.0 1.09e+04    -  8.94e-04 2.48e-03h  1
   6  0.0000000e+00 8.39e+04 1.24e+05  -1.0 2.60e+04    -  8.53e-04 9.72e-04h  1
   7  0.0000000e+00 8.38e+04 1.24e+05  -1.0 8.70e+03    -  1.14e-03 9.80e-04h  1
   8  0.0000000e+00 8.38e+04 1.24e+05  -1.0 1.38e+04    -  1.54e-03 4.23e-04h  1
   9  0.0000000e+00 8.37e+04 1.24e+05  -1.0 2.31e+04    -  1.40e-03 5.89e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  0.0000000e+00 8.37e+04 1.24e+05  -1.0 4.57e+04    -  3.71e-04 2.88e-04h  1
  11  0.0000000e+00 8.37e+04 1.24e+05  -1.0 6.92e+04    -  4.45e-04 9.11e-05h  1
  12  0.0000000e+00 8.37e+04 1.24e+05  -1.0 7.71e+04    -  2.43e-04 2.72e-04h  1
  13r 0.0000000e+00 8.37e+04 9.99e+02   4.1 0.00e+00    -  0.00e+00 4.23e-07R  8
  14r 0.0000000e+00 8.27e+04 3.93e+03   4.1 6.64e+03    -  6.16e-03 1.18e-03f  1
  15r 0.0000000e+00 2.63e+04 3.12e+03   2.1 1.34e+03    -  4.67e-01 1.04e-01f  1
  16r 0.0000000e+00 1.07e+05 4.06e+07   2.1 7.26e+01    -  3.39e-01 2.53e-01f  1
  17r 0.0000000e+00 9.32e+04 3.54e+07   2.1 5.60e+01    -  3.99e-01 1.39e-01f  1
  18r 0.0000000e+00 1.11e+06 1.67e+09   2.1 4.11e+01    -  3.62e-01 4.64e-01f  1
  19r 0.0000000e+00 6.30e+05 9.48e+08   2.1 1.11e+01    -  7.75e-01 5.82e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 0.0000000e+00 3.78e+05 5.68e+08   2.1 1.19e+01    -  7.97e-01 5.27e-01f  1
  21r 0.0000000e+00 2.72e+05 4.10e+08   2.1 7.18e+00    -  1.00e+00 3.33e-01f  1
  22r 0.0000000e+00 1.06e+05 1.59e+08   2.1 7.94e-01   4.0 4.25e-01 1.00e+00f  1
  23r 0.0000000e+00 4.36e+04 6.56e+07   2.1 4.96e-01   3.5 9.80e-01 9.29e-01f  1
  24r 0.0000000e+00 2.22e+04 3.34e+07   2.1 5.15e-01   3.0 1.00e+00 7.01e-01f  1
  25r 0.0000000e+00 1.41e+04 1.83e+07   2.1 9.16e-01   2.6 1.00e+00 6.24e-01f  1
  26r 0.0000000e+00 1.41e+04 1.28e+07   2.1 2.18e+00   2.1 5.22e-01 3.58e-01f  1
  27r 0.0000000e+00 1.41e+04 6.72e+06   2.1 1.66e+00   2.5 1.00e+00 6.71e-01f  1
  28r 0.0000000e+00 1.41e+04 6.47e+06   2.1 3.94e+01    -  3.18e-01 3.87e-02f  1
  29r 0.0000000e+00 1.41e+04 3.92e+06   2.1 6.40e+00    -  1.00e+00 5.16e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 0.0000000e+00 1.41e+04 1.52e+06   2.1 2.22e+00    -  1.00e+00 1.00e+00f  1
  31r 0.0000000e+00 1.41e+04 5.88e+05   2.1 2.84e-01    -  1.00e+00 1.00e+00h  1
  32r 0.0000000e+00 1.41e+04 2.28e+05   2.1 2.20e-01    -  1.00e+00 1.00e+00h  1
  33r 0.0000000e+00 1.41e+04 8.79e+04   2.1 4.14e-01    -  5.23e-01 1.00e+00h  1
  34r 0.0000000e+00 1.41e+04 3.38e+04   2.1 1.67e-01    -  1.00e+00 1.00e+00h  1
  35r 0.0000000e+00 1.41e+04 1.29e+04   2.1 2.81e-01    -  8.50e-01 1.00e+00h  1
  36r 0.0000000e+00 1.41e+04 4.75e+03   2.1 2.52e-01    -  8.42e-01 1.00e+00h  1
  37r 0.0000000e+00 1.41e+04 2.76e+03   1.4 6.33e+00    -  8.62e-01 4.95e-01f  1
  38r 0.0000000e+00 1.41e+04 1.31e+03   1.4 2.71e+00    -  1.00e+00 6.28e-01f  1
  39r 0.0000000e+00 1.41e+04 3.65e+02   0.7 6.98e+00    -  6.98e-01 6.90e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 0.0000000e+00 1.41e+04 1.55e+04   0.7 1.24e+00    -  4.87e-01 5.69e-01f  1
  41r 0.0000000e+00 1.41e+04 2.72e+04   0.7 2.72e-01   5.7 3.63e-01 2.39e-02h  1
  42r 0.0000000e+00 1.41e+04 1.67e+04   0.7 3.48e-01   5.2 6.04e-02 2.79e-01h  1
  43r 0.0000000e+00 1.41e+04 3.86e+04   0.7 2.99e-01   5.6 1.80e-01 2.13e-01h  1
  44r 0.0000000e+00 1.41e+04 7.56e+04   0.7 2.46e-01   6.0 2.76e-01 1.66e-01h  1
  45r 0.0000000e+00 1.41e+04 7.68e+04   0.7 2.16e-01   5.6 1.00e+00 1.00e+00h  1
  46r 0.0000000e+00 1.41e+04 7.50e+02   0.7 6.33e-03   5.1 1.00e+00 1.00e+00f  1
  47r 0.0000000e+00 1.41e+04 8.05e+02   0.7 1.32e+00    -  1.00e+00 1.61e-01f  1
  48r 0.0000000e+00 1.41e+04 4.46e+04   0.7 8.99e-01    -  1.00e+00 9.90e-01f  1
  49r 0.0000000e+00 1.41e+04 2.02e+04   0.7 2.57e-02   5.5 1.00e+00 3.23e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 0.0000000e+00 1.41e+04 1.51e+04   0.7 1.67e-02   5.9 1.92e-01 1.00e+00h  1
  51r 0.0000000e+00 1.41e+04 8.54e+03   0.7 4.99e-03   6.4 8.35e-01 1.00e+00f  1
  52r 0.0000000e+00 1.41e+04 2.50e+03   0.7 3.33e-03   5.9 1.00e+00 1.00e+00f  1
  53r 0.0000000e+00 1.41e+04 8.91e+02   0.7 1.72e-03   5.4 1.00e+00 1.00e+00f  1
  54r 0.0000000e+00 1.41e+04 5.65e+02   0.7 5.87e-03   4.9 1.00e+00 1.00e+00f  1
  55r 0.0000000e+00 1.41e+04 1.48e+03   0.7 1.38e-02   4.4 1.00e+00 1.00e+00F  1
  56r 0.0000000e+00 1.41e+04 5.72e+04   0.7 1.21e-02   4.9 1.00e+00 3.13e-01h  1
  57r 0.0000000e+00 1.41e+04 5.83e+04   0.7 1.04e-02   5.3 1.00e+00 6.49e-01h  1
  58r 0.0000000e+00 1.41e+04 1.46e+04   0.7 1.66e-01    -  5.03e-01 4.06e-02f  2
  59r 0.0000000e+00 1.41e+04 3.14e+03   0.7 1.45e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 0.0000000e+00 1.41e+04 1.04e+03   0.7 2.88e-03   4.8 1.00e+00 1.00e+00f  1
  61r 0.0000000e+00 1.41e+04 4.32e+04   0.7 3.51e-02    -  1.00e+00 4.79e-02f  3
  62r 0.0000000e+00 1.41e+04 7.40e+02   0.7 2.60e-03    -  1.00e+00 1.00e+00f  1
  63r 0.0000000e+00 1.41e+04 6.38e+04   0.7 7.14e-03    -  1.00e+00 1.00e+00F  1
  64r 0.0000000e+00 1.41e+04 1.68e+06   0.7 5.47e-03   5.2 1.00e+00 2.84e-01h  1
  65r 0.0000000e+00 1.41e+04 3.16e+06   0.7 9.53e-03   5.7 1.00e+00 2.39e-01f  2
  66r 0.0000000e+00 1.41e+04 2.75e+05   0.7 5.11e-03    -  9.69e-01 1.00e+00f  1
  67r 0.0000000e+00 1.41e+04 6.15e+05   0.7 4.15e-02   5.2 8.88e-01 2.12e-02f  5
  68r 0.0000000e+00 1.41e+04 2.18e+05   0.7 3.53e-03   5.6 1.00e+00 1.00e+00f  1
  69r 0.0000000e+00 1.41e+04 2.42e+05   0.7 9.01e-03    -  8.50e-01 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 0.0000000e+00 1.41e+04 2.34e+06   0.7 5.34e-04   6.0 1.00e+00 4.20e-01h  1
  71r 0.0000000e+00 1.41e+04 5.54e+05   0.7 2.92e-02   5.6 6.77e-01 1.15e-01f  2
  72r 0.0000000e+00 1.41e+04 9.45e+04   0.7 7.60e-03    -  5.30e-01 1.00e+00f  1
  73r 0.0000000e+00 1.41e+04 4.67e+04   0.7 8.45e-04   6.0 1.00e+00 1.00e+00f  1
  74r 0.0000000e+00 1.41e+04 1.85e+05   0.7 5.68e-03    -  5.69e-01 1.00e+00f  1
  75r 0.0000000e+00 1.41e+04 3.48e+04   0.7 5.83e-03   5.5 1.00e+00 5.00e-01f  2
