
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:      464
Number of nonzeros in inequality constraint Jacobian.:   216144
Number of nonzeros in Lagrangian Hessian.............:    71583

Total number of variables............................:     1200
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      967
                     variables with only upper bounds:      233
Total number of equality constraints.................:       29
Total number of inequality constraints...............:     3062
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     3062

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.9427462e+06 1.72e+05 8.80e-01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.9442415e+06 1.72e+05 1.71e+00  -1.0 2.53e+03    -  1.32e-05 1.40e-05h  1
   2  4.9599016e+06 1.72e+05 1.97e+00  -1.0 3.64e+03    -  5.60e-06 6.36e-05f  1
   3  4.9905918e+06 1.72e+05 2.37e+00  -1.0 3.69e+03    -  6.78e-05 1.22e-04h  1
   4  5.0823652e+06 1.72e+05 2.37e+00  -1.0 3.70e+03    -  1.94e-04 3.61e-04f  1
   5  5.2206268e+06 1.72e+05 2.37e+00  -1.0 3.65e+03    -  5.00e-04 5.32e-04f  1
   6  5.2255838e+06 1.72e+05 2.68e+00  -1.0 3.49e+03    -  1.41e-05 3.97e-05h  1
   7  5.2359295e+06 1.72e+05 3.45e+00  -1.0 1.03e+04    -  1.83e-05 9.81e-05h  1
   8  5.2442310e+06 1.72e+05 3.45e+00  -1.0 1.24e+04    -  9.63e-05 7.84e-05h  1
   9  8.0340081e+06 1.67e+05 5.14e+00  -1.0 1.29e+04    -  1.74e-04 2.80e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.2017034e+07 1.59e+05 5.52e+00  -1.0 1.25e+04    -  2.88e-02 5.02e-02f  1
  11  1.2055093e+07 1.58e+05 5.51e+00  -1.0 1.09e+04    -  4.07e-04 5.69e-04h  1
  12  1.2075089e+07 1.58e+05 5.51e+00  -1.0 9.75e+03    -  3.72e-05 1.23e-04h  1
  13  1.2091588e+07 1.58e+05 5.51e+00  -1.0 8.03e+03    -  1.19e-04 9.47e-05h  1
  14  1.2180585e+07 1.58e+05 9.49e+00  -1.0 6.49e+03    -  1.44e-04 5.08e-04h  1
  15  1.2400719e+07 1.58e+05 1.51e+01  -1.0 6.03e+03    -  3.86e-04 1.26e-03h  1
  16  1.2893331e+07 1.58e+05 1.63e+01  -1.0 6.25e+03    -  1.01e-03 2.83e-03f  1
  17  1.4265625e+07 1.56e+05 1.77e+01  -1.0 7.20e+03    -  2.68e-03 7.80e-03h  1
  18  1.9084346e+07 1.52e+05 2.67e+01  -1.0 9.37e+03    -  3.32e-03 2.67e-02f  1
  19  2.2759683e+07 1.49e+05 3.39e+01  -1.0 1.01e+04    -  3.01e-03 2.08e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.4119015e+07 1.48e+05 3.58e+01  -1.0 5.85e+03    -  3.46e-03 8.54e-03h  1
  21  2.8893901e+07 1.43e+05 4.54e+01  -1.0 9.11e+03    -  7.29e-03 3.50e-02h  1
  22  2.8733776e+07 1.41e+05 4.48e+01  -1.0 4.02e+03    -  4.49e-03 1.37e-02h  1
  23  1.2406289e+07 1.18e+05 3.33e+02  -1.0 2.72e+03    -  1.45e-02 1.64e-01f  1
  24  1.2381990e+07 1.17e+05 3.26e+02  -1.0 1.65e+03   0.0 4.01e-04 2.87e-04h  1
  25  1.2002833e+07 1.17e+05 3.14e+02  -1.0 1.71e+03  -0.5 5.42e-04 4.29e-04h  1
  26  1.2000620e+07 1.17e+05 2.75e+02  -1.0 1.66e+03  -0.1 4.36e-04 3.69e-05h  1
  27  1.1996609e+07 1.17e+05 2.75e+02  -1.0 1.49e+03   0.4 8.77e-05 8.68e-05h  1
  28  1.1986679e+07 1.17e+05 2.71e+02  -1.0 1.52e+03  -0.1 2.62e-04 1.78e-04h  1
  29  1.1983145e+07 1.17e+05 2.69e+02  -1.0 1.38e+03   0.3 1.17e-04 1.01e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.1972083e+07 1.17e+05 2.65e+02  -1.0 1.39e+03  -0.2 3.03e-04 2.06e-04h  1
  31  1.1968732e+07 1.17e+05 2.65e+02  -1.0 1.38e+03   0.3 1.10e-04 1.09e-04h  1
  32  1.1953744e+07 1.17e+05 2.69e+02  -1.0 1.38e+03  -0.2 1.42e-04 2.55e-04h  1
  33  1.1949218e+07 1.17e+05 2.69e+02  -1.0 1.38e+03   0.2 1.27e-04 1.26e-04h  1
  34  1.1914623e+07 1.17e+05 2.74e+02  -1.0 1.38e+03  -0.3 3.06e-04 4.93e-04h  1
  35  1.1905975e+07 1.17e+05 2.68e+02  -1.0 1.38e+03   0.2 2.84e-04 2.13e-04h  1
  36  1.1725183e+07 1.16e+05 6.54e+02  -1.0 1.38e+03  -0.3 3.96e-04 1.85e-03h  1
  37  1.1703473e+07 1.16e+05 3.98e+02  -1.0 1.38e+03   0.1 7.91e-04 4.61e-04h  1
  38  1.1511696e+07 1.15e+05 5.16e+02  -1.0 1.38e+03  -0.4 9.51e-04 1.44e-03h  1
  39  1.1489574e+07 1.15e+05 2.75e+02  -1.0 1.37e+03   0.1 1.18e-03 4.24e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  9.1997694e+06 1.13e+05 1.96e+03  -1.0 1.37e+03  -0.4 8.70e-04 1.05e-02f  1
  41  9.0524588e+06 1.13e+05 9.19e+02  -1.0 1.36e+03   0.0 4.37e-03 2.41e-03h  1
  42  6.1814147e+06 1.12e+05 4.36e+02  -1.0 1.36e+03  -0.5 4.33e-03 1.52e-03f  1
  43  6.1202896e+06 1.12e+05 9.25e+02  -1.0 1.35e+03  -0.0 3.81e-03 8.59e-04h  1
  44  6.0857964e+06 1.12e+05 1.90e+03  -1.0 1.35e+03   0.4 1.50e-03 6.91e-04h  1
  45  6.0676046e+06 1.12e+05 1.97e+03  -1.0 1.35e+03  -0.1 8.45e-04 2.43e-04h  1
  46  5.9266430e+06 1.11e+05 2.44e+03  -1.0 1.35e+03   0.3 4.56e-03 2.84e-03h  1
  47  5.5281738e+06 1.10e+05 2.46e+03  -1.0 1.35e+03  -0.1 5.08e-03 4.74e-03h  1
  48  5.4696606e+06 1.10e+05 6.50e+03  -1.0 1.34e+03   0.3 5.63e-03 1.06e-03h  1
  49  2.5729302e+06 1.07e+05 2.25e+03  -1.0 1.34e+03  -0.2 1.27e-02 2.94e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.5381346e+06 1.07e+05 9.04e+03  -1.0 1.30e+03   0.2 1.03e-02 5.60e-04h  1
  51  1.6438564e+06 1.06e+05 8.93e+03  -1.0 1.30e+03  -0.2 7.23e-03 7.41e-03h  1
  52  1.3581219e+06 1.05e+05 7.59e+03  -1.0 1.29e+03   0.2 2.47e-03 4.36e-03h  1
  53 -2.5637126e+06 1.03e+05 5.09e+03  -1.0 1.28e+03  -0.3 1.37e-02 2.47e-02h  1
  54 -2.6180071e+06 1.03e+05 1.09e+04  -1.0 1.25e+03   0.1 1.08e-02 7.59e-04h  1
  55 -5.0248525e+06 1.02e+05 1.11e+04  -1.0 1.25e+03  -0.3 1.14e-02 9.58e-03h  1
  56 -7.2228658e+06 9.89e+04 1.96e+03  -1.0 1.24e+03   0.1 7.08e-03 2.80e-02h  1
  57 -1.0140300e+07 9.84e+04 5.01e+03  -1.0 1.20e+03  -0.4 4.00e-02 4.93e-03h  1
  58 -1.2740758e+07 9.55e+04 3.60e+03  -1.0 1.20e+03   0.0 9.29e-03 2.97e-02h  1
  59 -1.3420628e+07 9.46e+04 3.71e+03  -1.0 1.16e+03   0.5 1.65e-02 1.01e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 -1.5036178e+07 9.30e+04 1.90e+03  -1.0 1.15e+03  -0.0 8.55e-03 1.70e-02h  1
  61 -1.5188738e+07 9.27e+04 1.27e+04  -1.0 1.13e+03   0.4 1.44e-02 2.20e-03h  1
  62 -1.6189360e+07 9.19e+04 1.35e+04  -1.0 1.13e+03  -0.1 1.33e-02 9.62e-03h  1
  63 -1.6538724e+07 9.14e+04 2.78e+04  -1.0 1.12e+03   0.4 2.25e-02 4.89e-03h  1
  64 -2.0337017e+07 8.85e+04 2.88e+04  -1.0 1.11e+03  -0.1 4.21e-02 3.23e-02h  1
  65 -2.0526105e+07 8.82e+04 3.49e+04  -1.0 1.08e+03   0.3 1.18e-02 2.53e-03h  1
  66 -2.4579218e+07 8.56e+04 3.18e+04  -1.0 1.07e+03  -0.2 1.38e-02 2.93e-02h  1
  67 -2.5744130e+07 8.44e+04 3.65e+04  -1.0 1.04e+03   0.3 2.42e-02 1.47e-02h  1
  68 -2.5790271e+07 8.44e+04 3.65e+04  -1.0 1.03e+03  -0.2 4.52e-03 2.76e-04h  1
  69 -2.5864033e+07 8.43e+04 3.72e+04  -1.0 1.03e+03   0.2 4.26e-02 9.31e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 -3.0841020e+07 8.23e+04 3.72e+04  -1.0 1.03e+03  -0.3 1.38e-02 2.33e-02h  1
  71 -3.3414210e+07 7.99e+04 3.61e+04  -1.0 1.00e+03   0.2 2.01e-02 2.97e-02h  1
  72 -5.1105753e+07 7.58e+04 3.56e+04  -1.0 9.73e+02  -0.3 3.78e-02 5.15e-02f  1
  73 -5.1462597e+07 7.55e+04 3.49e+04  -1.0 9.23e+02   0.1 2.68e-02 3.45e-03h  1
  74 -6.2976067e+07 7.42e+04 3.36e+04  -1.0 9.19e+02  -0.4 2.45e-02 1.71e-02f  1
