
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    40000
Number of nonzeros in inequality constraint Jacobian.:   120000
Number of nonzeros in Lagrangian Hessian.............:    20201

Total number of variables............................:    20201
                     variables with only lower bounds:        1
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    10000
Total number of inequality constraints...............:    40000
        inequality constraints with only lower bounds:    40000
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0000000e+00 1.00e+00 1.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  9.6906250e-01 2.20e+01 2.63e+00  -1.7 9.14e+03    -  1.02e-02 3.70e-04h  5
   2  1.0517226e+00 2.20e+01 3.65e+00  -1.7 1.56e+04  -2.0 3.08e-04 9.41e-05f  2
   3r 1.0517226e+00 2.20e+01 9.99e+02   1.4 0.00e+00   1.1 0.00e+00 4.09e-07R  9
   4r 1.0926372e+00 6.85e+00 9.93e+02   1.4 2.02e+04    -  8.21e-03 1.12e-03f  1
   5  1.4143511e+00 4.44e+01 9.53e-01  -1.7 3.15e+04    -  1.33e-04 2.07e-04f  1
   6r 1.4143511e+00 4.44e+01 9.99e+02   1.7 0.00e+00   0.7 0.00e+00 3.57e-07R  7
   7r 1.4977270e+00 2.83e+01 9.98e+02   1.7 4.25e+04    -  6.88e-04 4.63e-04f  1
   8  1.7789135e+00 2.82e+01 9.20e-01  -1.7 1.23e+04    -  1.44e-04 1.18e-04f  1
   9r 1.7789135e+00 2.82e+01 9.99e+02   1.5 0.00e+00   0.2 0.00e+00 2.72e-07R  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 1.8879428e+00 1.38e+01 9.97e+02   1.5 2.63e+04    -  1.75e-03 6.78e-04f  1
  11  2.5392554e+00 1.35e+01 3.88e+00  -1.7 1.42e+04    -  1.72e-04 2.67e-04f  1
  12r 2.5392554e+00 1.35e+01 9.99e+02   1.1 0.00e+00  -0.3 0.00e+00 4.13e-07R  6
  13r 2.7439005e+00 4.76e+00 9.99e+02   1.1 1.43e+04    -  2.74e-04 7.90e-04f  1
  14  3.9322466e+00 1.57e+01 2.66e+00  -1.7 1.74e+04    -  1.72e-04 4.66e-04f  1
  15r 3.9322466e+00 1.57e+01 9.99e+02   1.2 0.00e+00  -0.8 0.00e+00 3.35e-07R  7
  16r 4.0343879e+00 8.95e+00 9.99e+02   1.2 1.66e+04    -  1.57e-04 5.19e-04f  1
  17  4.7609605e+00 8.77e+00 1.36e+00  -1.7 2.71e+04    -  1.73e-04 2.71e-04f  1
  18r 4.7609605e+00 8.77e+00 9.99e+02   0.9 0.00e+00  -1.3 0.00e+00 2.63e-07R  8
  19r 4.9237572e+00 1.91e+00 9.97e+02   0.9 8.60e+03    -  2.18e-03 1.01e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.3623843e+00 8.29e+00 1.66e+00  -1.7 3.69e+04    -  2.53e-04 5.20e-04f  1
  21r 6.3623843e+00 8.29e+00 9.99e+02   1.1 0.00e+00  -1.7 0.00e+00 3.55e-07R  8
  22r 6.5742157e+00 1.86e+00 9.98e+02   1.1 1.17e+04    -  1.44e-03 9.92e-04f  1
  23  8.0527183e+00 1.14e+01 1.80e+00  -1.7 4.61e+04    -  3.83e-04 5.29e-04f  1
  24r 8.0527183e+00 1.14e+01 9.99e+02   1.1 0.00e+00  -2.2 0.00e+00 3.75e-07R  8
  25r 8.3055531e+00 1.40e+00 9.98e+02   1.1 1.27e+04    -  1.37e-03 9.94e-04f  1
  26  1.0558773e+01 2.31e+01 9.96e-01  -1.7 6.36e+04    -  4.74e-04 7.94e-04f  1
  27r 1.0558773e+01 2.31e+01 9.99e+02   1.4 0.00e+00  -2.7 0.00e+00 2.78e-07R  9
  28r 1.1180321e+01 1.59e+00 9.99e+02   1.4 2.71e+04    -  4.77e-04 9.92e-04f  1
  29  1.4212040e+01 2.00e+01 9.96e-01  -1.7 9.42e+04    -  5.92e-04 1.13e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 1.4212040e+01 2.00e+01 9.99e+02   1.8 0.00e+00  -3.2 0.00e+00 2.59e-07R  8
  31r 1.5343382e+01 9.00e+00 9.99e+02   1.8 4.86e+05    -  3.89e-05 9.91e-04f  1
  32r 1.5570234e+01 4.15e+00 9.94e+02   1.1 9.45e+03    -  4.93e-03 1.05e-03f  1
  33r 1.6914386e+01 1.14e+00 9.88e+02   1.1 8.61e+03    -  6.46e-03 6.13e-03f  1
  34r 1.9578903e+01 1.14e+00 9.78e+02   1.1 7.25e+03    -  9.53e-03 1.33e-02f  1
  35r 2.3903580e+01 1.14e+00 9.57e+02   1.1 7.09e+03    -  2.19e-02 2.52e-02f  1
  36r 3.1596512e+01 1.14e+00 9.31e+02   1.1 7.07e+03    -  2.68e-02 5.44e-02f  1
  37r 4.2710659e+01 1.17e+00 8.87e+02   1.1 8.29e+03    -  4.75e-02 1.03e-01f  1
  38r 6.0078285e+01 1.23e+00 8.01e+02   1.1 9.72e+03    -  9.68e-02 2.12e-01f  1
  39r 9.0830880e+01 1.69e+00 6.02e+02   1.1 1.11e+04    -  2.48e-01 5.07e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 1.0316261e+02 2.98e+01 3.67e+02   1.1 1.50e+04    -  3.91e-01 2.67e-01f  1
  41r 1.3575645e+02 1.91e+00 9.07e+02   1.1 2.32e+04    -  7.21e-02 7.15e-01F  1
  42r 1.7929763e+02 1.60e+00 1.05e+03   1.1 4.35e+04    -  2.11e-01 1.00e+00F  1
  43r 2.1982862e+02 1.05e+00 2.50e+01   1.1 2.28e+04    -  9.07e-01 1.00e+00f  1
  44r 2.8673734e+02 1.01e+00 2.87e-01   1.1 3.79e+04    -  1.00e+00 1.00e+00F  1
  45r 3.1408793e+02 1.01e+00 2.71e-03   1.1 1.34e+04    -  1.00e+00 1.00e+00f  1
  46r 3.1289863e+02 1.01e+00 1.87e-04   1.1 3.18e+00    -  1.00e+00 1.00e+00h  1
  47  3.1292681e+02 1.01e+00 9.99e-01  -1.7 3.10e+05    -  2.65e-01 1.51e-04h 12
  48  3.1294933e+02 1.01e+00 9.99e-01  -1.7 4.92e+05    -  1.64e-01 1.08e-04h 13
  49  3.1298544e+02 1.01e+00 9.99e-01  -1.7 1.92e+05  -3.6 3.77e-01 2.39e-04h 12
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 3.1298544e+02 1.01e+00 9.99e+02   1.4 0.00e+00  -3.2 0.00e+00 2.71e-07R 22
  51r 3.1299093e+02 1.01e+00 9.72e+02   1.4 3.24e+04    -  9.58e-01 9.90e-04f  1
  52r 3.1299093e+02 1.01e+00 9.99e+02   0.8 0.00e+00    -  0.00e+00 4.95e-07R 21
  53r 3.1302870e+02 1.01e+00 9.92e+02   0.8 2.41e+04    -  8.33e-01 9.90e-04f  1
  54r 3.1302870e+02 1.01e+00 9.99e+02   0.3 0.00e+00  -3.7 0.00e+00 2.60e-07R 22
  55r 3.1324399e+02 1.01e+00 9.97e+02   0.3 1.37e+05    -  1.00e+00 9.90e-04f  1
  56r 3.1324399e+02 1.01e+00 9.99e+02   0.0 0.00e+00  -4.2 0.00e+00 2.59e-07R 22
  57r 3.1351687e+02 1.01e+00 9.97e+02   0.0 9.82e+04    -  1.00e+00 1.74e-03f  1
  58r 3.1400428e+02 1.01e+00 8.93e+02   0.0 5.25e+04    -  1.00e+00 1.04e-01f  1
  59r 3.1467255e+02 1.01e+00 7.67e+02   0.0 3.73e+04    -  1.00e+00 1.42e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 3.1557504e+02 1.01e+00 5.91e+02   0.0 2.42e+04    -  1.00e+00 2.29e-01f  1
  61r 3.1634335e+02 1.01e+00 4.53e+02   0.0 2.20e+04    -  1.00e+00 2.33e-01f  1
  62r 3.1743427e+02 1.01e+00 2.73e+02   0.0 1.87e+04    -  1.00e+00 3.97e-01f  1
  63r 3.1799302e+02 1.01e+00 1.92e+02   0.0 1.29e+04    -  1.00e+00 2.98e-01f  1
  64r 3.1920940e+02 1.01e+00 2.40e+01   0.0 9.15e+03    -  1.00e+00 8.75e-01f  1
  65r 3.1941161e+02 1.01e+00 1.04e-05   0.0 1.33e+03    -  1.00e+00 1.00e+00f  1
  66r 3.1941459e+02 1.01e+00 1.01e-05   0.0 3.09e+02    -  1.00e+00 1.00e+00h  1
  67r 3.1944960e+02 1.01e+00 5.63e+00  -1.4 4.96e+02    -  1.00e+00 1.00e+00f  1
  68r 3.1986443e+02 1.01e+00 3.22e+02  -1.4 1.50e+05    -  1.00e+00 2.38e-02f  1
  69r 3.2121000e+02 1.01e+00 4.19e+02  -1.4 1.01e+05    -  1.00e+00 3.83e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 3.2649563e+02 1.01e+00 4.17e+02  -1.4 8.48e+04    -  1.00e+00 9.81e-02f  1
  71r 3.3401922e+02 1.01e+00 3.77e+02  -1.4 7.00e+04    -  1.00e+00 1.01e-01f  1
  72r 3.3968732e+02 1.01e+00 3.80e+02  -1.4 6.24e+04    -  1.00e+00 6.27e-02f  1
  73r 3.5370011e+02 1.01e+00 3.27e+02  -1.4 6.18e+04    -  1.00e+00 1.58e-01f  1
  74r 3.5966683e+02 1.01e+00 3.20e+02  -1.4 4.77e+04    -  1.00e+00 9.03e-02f  1
  75r 3.7069811e+02 1.01e+00 2.72e+02  -1.4 4.22e+04    -  1.00e+00 1.90e-01f  1
  76r 3.8250055e+02 1.01e+00 2.13e+02  -1.4 3.80e+04    -  1.00e+00 2.32e-01f  1
