
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   173950

Total number of variables............................:     4900
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  8.6491820e+04 0.00e+00 9.27e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  8.6370526e+04 0.00e+00 9.31e+01  -1.0 9.31e-03   4.0 1.00e+00 1.00e+00f  1
   2  8.6011164e+04 0.00e+00 9.77e+01  -1.0 2.93e-02   3.5 1.00e+00 1.00e+00f  1
   3  8.4052083e+04 0.00e+00 1.66e+02  -1.0 1.56e-01   3.0 1.00e+00 1.00e+00f  1
   4  8.2984553e+04 0.00e+00 1.96e+02  -1.0 6.68e-02   3.5 1.00e+00 1.00e+00f  1
   5  7.5916774e+04 0.00e+00 2.62e+02  -1.0 3.20e-01   3.0 1.00e+00 1.00e+00f  1
   6  7.2891328e+04 0.00e+00 2.68e+02  -1.0 1.04e-01   3.4 1.00e+00 1.00e+00f  1
   7  6.0467505e+04 0.00e+00 2.59e+02  -1.0 3.52e-01   2.9 1.00e+00 1.00e+00f  1
   8  5.6388394e+04 0.00e+00 2.68e+02  -1.0 1.17e-01   3.4 1.00e+00 1.00e+00f  1
   9  4.3589317e+04 0.00e+00 2.40e+02  -1.0 4.45e-01   2.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.9637287e+04 0.00e+00 2.50e+02  -1.0 1.25e-01   3.3 1.00e+00 1.00e+00f  1
  11  2.8935939e+04 0.00e+00 2.09e+02  -1.0 4.53e-01   2.8 1.00e+00 1.00e+00f  1
  12  2.5938384e+04 0.00e+00 1.99e+02  -1.0 1.10e-01   3.3 1.00e+00 1.00e+00f  1
  13  1.9300432e+04 0.00e+00 1.86e+02  -1.0 4.59e-01   2.8 1.00e+00 1.00e+00f  1
  14  1.0851216e+04 0.00e+00 1.25e+03  -1.0 1.57e+00    -  1.00e+00 1.00e+00f  1
  15  5.6343705e+03 0.00e+00 1.42e+02  -1.0 1.08e+00   2.3 1.00e+00 1.00e+00f  1
  16  4.1583463e+03 0.00e+00 5.93e+02  -1.0 3.59e+00    -  1.00e+00 1.00e+00f  1
  17  3.1645374e+03 0.00e+00 5.06e+01  -1.0 2.00e-01   2.7 1.00e+00 1.00e+00f  1
  18  2.9728066e+03 0.00e+00 4.88e+01  -1.0 2.83e-01   2.3 1.00e+00 1.00e+00f  1
  19  2.5668311e+03 0.00e+00 3.06e+01  -1.0 7.71e-01   1.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.0677779e+03 0.00e+00 2.71e+01  -1.0 1.16e+00   1.3 1.00e+00 1.00e+00f  1
  21  1.6663572e+03 0.00e+00 1.44e+01  -1.0 5.09e-01   0.8 1.00e+00 1.00e+00f  1
  22  1.3222267e+03 0.00e+00 4.64e+01  -1.0 1.01e+00    -  1.00e+00 1.00e+00f  1
  23  1.1025224e+03 0.00e+00 6.94e+00  -1.0 7.71e-01    -  1.00e+00 1.00e+00f  1
  24  1.0335664e+03 0.00e+00 8.44e+01  -1.0 1.45e+00    -  1.00e+00 1.00e+00f  1
  25  9.0811948e+02 0.00e+00 6.79e+00  -1.0 6.70e-01    -  1.00e+00 1.00e+00f  1
  26  9.0145491e+02 0.00e+00 1.27e+02  -1.0 4.15e+00    -  1.00e+00 5.00e-01f  2
  27  8.2690553e+02 0.00e+00 1.12e+01  -1.0 6.61e-01    -  1.00e+00 1.00e+00f  1
  28  8.2339291e+02 0.00e+00 4.19e-01  -1.0 1.01e-01   0.4 1.00e+00 1.00e+00f  1
  29  8.1351190e+02 0.00e+00 5.70e+01  -1.7 3.31e+00    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  7.8408694e+02 0.00e+00 1.46e+00  -1.7 7.45e-01    -  1.00e+00 1.00e+00f  1
  31  7.8125438e+02 0.00e+00 5.73e+01  -1.7 4.21e+00    -  1.00e+00 5.00e-01f  2
  32  7.6087743e+02 0.00e+00 2.64e+00  -1.7 7.47e-01    -  1.00e+00 1.00e+00f  1
  33  7.5578284e+02 0.00e+00 6.50e+01  -1.7 1.01e+01    -  1.00e+00 2.50e-01f  3
  34  7.4852986e+02 0.00e+00 3.53e+01  -1.7 1.64e+00    -  1.00e+00 1.00e+00f  1
  35  7.4780690e+02 0.00e+00 6.11e+01  -1.7 2.17e+01    -  1.00e+00 1.25e-01f  4
  36  7.4208720e+02 0.00e+00 3.32e+01  -1.7 1.88e+00    -  1.00e+00 1.00e+00f  1
  37  7.4120971e+02 0.00e+00 4.22e+01  -1.7 1.99e+01    -  1.00e+00 1.25e-01f  4
  38  7.3860469e+02 0.00e+00 6.73e+01  -1.7 2.28e+00    -  1.00e+00 1.00e+00f  1
  39  7.3691565e+02 0.00e+00 1.70e+02  -1.7 1.01e+01    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  7.3111336e+02 0.00e+00 2.38e+01  -1.7 1.51e+00    -  1.00e+00 1.00e+00f  1
  41  7.3045989e+02 0.00e+00 6.25e-02  -1.7 2.61e-02  -0.1 1.00e+00 1.00e+00f  1
  42  7.2909494e+02 0.00e+00 3.31e+01  -2.5 9.95e+00    -  1.00e+00 2.50e-01f  3
  43  7.2599037e+02 0.00e+00 6.69e+00  -2.5 1.09e+00    -  1.00e+00 1.00e+00f  1
  44  7.2567233e+02 0.00e+00 8.49e+01  -2.5 8.68e+00    -  1.00e+00 5.00e-01f  2
  45  7.2262255e+02 0.00e+00 9.90e+00  -2.5 1.27e+00    -  1.00e+00 1.00e+00f  1
  46  7.2255669e+02 0.00e+00 2.02e-02  -2.5 4.06e-02  -0.6 1.00e+00 1.00e+00f  1
  47  7.2239919e+02 0.00e+00 4.22e+01  -3.8 1.26e+01    -  1.00e+00 2.50e-01f  3
  48  7.1995434e+02 0.00e+00 2.98e+00  -3.8 9.39e-01    -  1.00e+00 1.00e+00f  1
  49  7.1929165e+02 0.00e+00 4.77e+01  -3.8 1.49e+01    -  1.00e+00 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  7.1816391e+02 0.00e+00 2.36e+01  -3.8 2.02e+00    -  1.00e+00 1.00e+00f  1
  51  7.1810294e+02 0.00e+00 1.12e+02  -3.8 2.35e+01    -  1.00e+00 2.50e-01f  3
  52  7.1730038e+02 0.00e+00 2.53e+01  -3.8 2.37e+00    -  1.00e+00 1.00e+00f  1
  53  7.1662124e+02 0.00e+00 6.58e-02  -3.8 5.43e-02  -1.1 1.00e+00 1.00e+00f  1
  54  7.1611922e+02 0.00e+00 1.35e+01  -3.8 1.74e+01    -  1.00e+00 1.25e-01f  4
  55  7.1551533e+02 0.00e+00 2.73e+01  -3.8 2.35e+00    -  1.00e+00 1.00e+00f  1
  56  7.1502812e+02 0.00e+00 4.26e+01  -3.8 4.11e+00    -  1.00e+00 1.00e+00f  1
  57  7.1477278e+02 0.00e+00 8.02e+01  -3.8 3.94e+00    -  1.00e+00 1.00e+00f  1
  58  7.1455653e+02 0.00e+00 9.93e+01  -3.8 2.56e+01    -  1.00e+00 2.50e-01f  3
  59  7.1389150e+02 0.00e+00 2.00e+01  -3.8 2.26e+00    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  7.1369142e+02 0.00e+00 5.59e-02  -3.8 7.71e-02  -1.6 1.00e+00 1.00e+00f  1
  61  7.1342801e+02 0.00e+00 1.68e+01  -3.8 2.24e+01    -  1.00e+00 1.25e-01f  4
  62  7.1305012e+02 0.00e+00 1.53e+01  -3.8 2.03e+00    -  1.00e+00 1.00e+00f  1
  63  7.1285699e+02 0.00e+00 3.00e+01  -3.8 7.75e+00    -  1.00e+00 5.00e-01f  2
  64  7.1257036e+02 0.00e+00 2.71e+01  -3.8 2.77e+00    -  1.00e+00 1.00e+00f  1
  65  7.1247804e+02 0.00e+00 4.67e+01  -3.8 2.00e+01    -  1.00e+00 2.50e-01f  3
  66  7.1228056e+02 0.00e+00 1.91e+01  -3.8 2.45e+00    -  1.00e+00 1.00e+00f  1
  67  7.1222557e+02 0.00e+00 4.28e+01  -3.8 3.98e+01    -  1.00e+00 1.25e-01f  4
  68  7.1199981e+02 0.00e+00 4.43e+01  -3.8 3.64e+00    -  1.00e+00 1.00e+00f  1
  69  7.1192045e+02 0.00e+00 3.88e+01  -3.8 3.69e+01    -  1.00e+00 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  7.1173605e+02 0.00e+00 1.99e+01  -3.8 3.39e+00    -  1.00e+00 5.00e-01f  2
  71  7.1152974e+02 0.00e+00 1.53e+01  -3.8 2.26e+00    -  1.00e+00 1.00e+00f  1
  72  7.1142345e+02 0.00e+00 4.66e+01  -3.8 1.10e+01    -  1.00e+00 5.00e-01f  2
  73  7.1125055e+02 0.00e+00 1.93e+01  -3.8 2.66e+00    -  1.00e+00 1.00e+00f  1
  74  7.1123461e+02 0.00e+00 5.11e+01  -3.8 4.80e+01    -  1.00e+00 1.25e-01f  4
  75  7.1106896e+02 0.00e+00 1.37e+01  -3.8 2.25e+00    -  1.00e+00 1.00e+00f  1
  76  7.1105429e+02 0.00e+00 1.86e+01  -3.8 6.06e+01    -  1.00e+00 6.25e-02f  5
