
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:      940
Number of nonzeros in inequality constraint Jacobian.:      680
Number of nonzeros in Lagrangian Hessian.............:     6920

Total number of variables............................:      720
                     variables with only lower bounds:      720
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      240
Total number of inequality constraints...............:       23
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       23

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.0820219e+02 2.10e+03 5.04e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.6566189e+02 2.10e+03 5.04e+01  -1.0 3.26e+05    -  1.01e-05 2.05e-05h  1
   2  5.5921532e+02 2.10e+03 5.03e+01  -1.0 3.02e+05    -  1.96e-05 1.00e-04h  1
   3  1.6671011e+03 2.10e+03 5.02e+01  -1.0 2.69e+05    -  8.65e-05 3.54e-04h  1
   4  5.6334587e+03 2.10e+03 5.02e+01  -1.0 2.35e+05    -  3.40e-04 1.22e-03h  1
   5  7.1828244e+03 2.10e+03 5.02e+01  -1.0 2.24e+05    -  6.40e-04 5.25e-04h  1
   6  8.4475264e+03 2.10e+03 5.01e+01  -1.0 2.46e+05    -  7.87e-04 5.12e-04h  1
   7  1.1184482e+04 2.10e+03 5.00e+01  -1.0 2.53e+05    -  1.17e-03 1.24e-03h  1
   8  1.7007095e+04 2.09e+03 5.00e+01  -1.0 2.50e+05    -  1.77e-03 2.67e-03h  1
   9  2.5797641e+04 2.08e+03 4.98e+01  -1.0 2.45e+05    -  3.41e-03 3.81e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.5784513e+04 2.06e+03 4.95e+01  -1.0 2.48e+05    -  4.94e-03 8.60e-03h  1
  11  4.7766533e+04 2.06e+03 4.95e+01  -1.0 3.31e+03  -2.0 1.24e-04 4.35e-04h  1
  12  5.0149931e+04 2.06e+03 4.94e+01  -1.0 3.61e+03  -2.5 3.77e-04 5.22e-04h  1
  13  5.2956418e+04 2.06e+03 4.94e+01  -1.0 4.66e+03  -3.0 6.54e-04 6.14e-04h  1
  14  6.0967997e+04 2.06e+03 4.93e+01  -1.0 7.54e+03  -3.4 7.63e-05 1.75e-03h  1
  15  6.1139301e+04 2.06e+03 4.93e+01  -1.0 1.19e+04  -3.9 5.93e-04 3.78e-05h  1
  16  7.0613514e+04 2.05e+03 4.94e+01  -1.0 7.50e+03  -3.5 4.29e-04 2.08e-03h  1
  17  7.0736038e+04 2.05e+03 4.93e+01  -1.0 1.27e+04  -4.0 1.65e-03 2.71e-05h  1
  18  7.2347364e+04 2.05e+03 4.93e+01  -1.0 8.29e+03  -3.5 4.14e-04 3.53e-04h  1
  19  7.2467309e+04 2.05e+03 4.93e+01  -1.0 4.83e+04  -4.0 1.04e-04 2.72e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  7.7876098e+04 2.05e+03 4.95e+01  -1.0 2.88e+04  -3.6 4.13e-05 1.19e-03h  1
  21  7.7958853e+04 2.05e+03 4.95e+01  -1.0 3.73e+04  -4.1 2.82e-04 1.84e-05h  1
  22  8.1190341e+04 2.05e+03 4.95e+01  -1.0 3.15e+04  -3.6 4.32e-05 7.08e-04h  1
  23  8.9640844e+04 2.04e+03 4.94e+01  -1.0 3.78e+04  -4.1 2.59e-03 1.88e-03h  1
  24  9.2010726e+04 2.04e+03 4.94e+01  -1.0 4.30e+04  -4.6 2.27e-04 5.44e-04h  1
  25  9.2098045e+04 2.04e+03 4.92e+01  -1.0 2.89e+04  -4.2 2.29e-03 1.94e-05h  1
  26  9.2892007e+04 2.04e+03 4.91e+01  -1.0 5.90e+04  -4.6 1.29e-03 1.83e-04h  1
  27  9.4997501e+04 2.04e+03 4.90e+01  -1.0 2.61e+05    -  1.74e-03 9.99e-04h  1
  28  9.5065282e+04 2.04e+03 4.89e+01  -1.0 2.56e+05    -  1.80e-03 3.17e-05h  1
  29  9.6018308e+04 2.04e+03 4.88e+01  -1.0 2.45e+05    -  6.04e-04 4.34e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  9.8180205e+04 2.04e+03 4.88e+01  -1.0 2.50e+05    -  3.17e-04 1.01e-03h  1
  31  9.8229673e+04 2.04e+03 4.88e+01  -1.0 2.35e+05    -  9.53e-04 2.10e-05h  1
  32  1.0011403e+05 2.04e+03 4.88e+01  -1.0 2.85e+05    -  1.90e-04 8.19e-04h  1
  33  1.0014934e+05 2.04e+03 4.86e+01  -1.0 2.46e+05    -  3.15e-03 1.42e-05h  1
  34  1.1007741e+05 2.03e+03 4.86e+01  -1.0 1.99e+05    -  1.89e-05 3.69e-03h  1
  35  1.1573398e+05 2.02e+03 4.84e+01  -1.0 2.42e+05    -  4.06e-03 2.58e-03h  1
  36  1.1635418e+05 2.02e+03 4.83e+01  -1.0 2.39e+05    -  1.63e-03 2.79e-04h  1
  37  1.1687865e+05 2.02e+03 4.82e+01  -1.0 2.05e+05    -  8.24e-04 2.03e-04h  1
  38  1.3001351e+05 2.01e+03 4.84e+01  -1.0 2.34e+05    -  3.15e-05 5.74e-03h  1
  39  1.3012731e+05 2.01e+03 4.81e+01  -1.0 2.38e+05    -  3.97e-03 5.13e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.3305667e+05 2.01e+03 4.79e+01  -1.0 1.86e+05    -  1.76e-03 1.07e-03h  1
  41  1.4627628e+05 2.00e+03 4.84e+01  -1.0 2.23e+05    -  3.50e-05 5.42e-03h  1
  42  1.4834272e+05 2.00e+03 4.83e+01  -1.0 2.57e+05    -  1.40e-03 9.68e-04h  1
  43  1.4842289e+05 2.00e+03 4.81e+01  -1.0 2.11e+05    -  1.73e-03 3.20e-05h  1
  44  2.0510455e+05 1.95e+03 4.94e+01  -1.0 2.40e+05    -  5.84e-05 2.51e-02h  1
  45  2.0550705e+05 1.95e+03 4.89e+01  -1.0 2.49e+05    -  6.77e-03 1.93e-04h  1
  46  2.1381304e+05 1.94e+03 4.89e+01  -1.0 2.20e+05    -  9.75e-04 3.48e-03h  1
  47  3.4237150e+05 1.82e+03 5.04e+01  -1.0 2.50e+05    -  5.48e-04 6.21e-02h  1
  48  4.6341468e+05 1.70e+03 4.87e+01  -1.0 2.40e+05    -  4.28e-02 6.44e-02h  1
  49  4.8775501e+05 1.68e+03 4.89e+01  -1.0 2.19e+05    -  2.10e-03 1.46e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  4.8803313e+05 1.68e+03 4.78e+01  -1.0 2.13e+05    -  1.55e-02 1.68e-04h  1
  51  5.1199460e+05 1.65e+03 4.80e+01  -1.0 2.15e+05    -  1.10e-03 1.41e-02h  1
  52  5.1232009e+05 1.65e+03 4.66e+01  -1.0 2.09e+05    -  2.13e-02 1.92e-04h  1
  53  5.3638692e+05 1.63e+03 4.65e+01  -1.0 2.02e+05    -  5.04e-03 1.35e-02h  1
  54  5.7367499e+05 1.59e+03 4.69e+01  -1.0 2.12e+05    -  5.79e-04 2.37e-02h  1
  55  6.1604197e+05 1.55e+03 4.64e+01  -1.0 2.14e+05    -  1.54e-02 2.83e-02h  1
  56  6.1951612e+05 1.54e+03 4.65e+01  -1.0 2.34e+05    -  1.97e-04 2.53e-03h  1
  57  6.1969154e+05 1.54e+03 4.59e+01  -1.0 2.26e+05    -  8.24e-03 1.28e-04h  1
  58  6.3571010e+05 1.52e+03 3.97e+01  -1.0 2.13e+05    -  1.00e-01 1.15e-02h  1
  59  6.6857974e+05 1.49e+03 3.73e+01  -1.0 2.19e+05    -  4.94e-02 2.55e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  6.6942604e+05 1.48e+03 3.72e+01  -1.0 2.09e+05    -  2.42e-03 6.38e-04h  1
  61  6.8267061e+05 1.47e+03 3.73e+01  -1.0 2.39e+05    -  1.15e-03 1.05e-02h  1
  62  6.8521649e+05 1.47e+03 3.72e+01  -1.0 2.36e+05    -  2.56e-03 2.06e-03h  1
  63  6.8574596e+05 1.47e+03 3.71e+01  -1.0 2.06e+05    -  2.53e-03 3.81e-04h  1
  64  7.1119123e+05 1.43e+03 3.75e+01  -1.0 2.35e+05    -  4.49e-04 2.07e-02h  1
  65  7.1155019e+05 1.43e+03 3.73e+01  -1.0 2.23e+05    -  3.15e-03 2.94e-04h  1
  66  7.1728168e+05 1.43e+03 3.73e+01  -1.0 2.13e+05    -  1.24e-03 4.58e-03h  1
  67  7.4300040e+05 1.40e+03 3.73e+01  -1.0 2.36e+05    -  7.46e-03 2.21e-02h  1
  68  7.4330045e+05 1.40e+03 3.55e+01  -1.0 2.26e+05    -  3.18e-02 2.58e-04h  1
  69  7.6695583e+05 1.37e+03 3.57e+01  -1.0 1.93e+05    -  2.32e-03 1.73e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  7.9632840e+05 1.33e+03 3.62e+01  -1.0 2.33e+05    -  9.97e-04 2.73e-02h  1
  71  7.9663928e+05 1.33e+03 3.58e+01  -1.0 2.16e+05    -  7.29e-03 2.95e-04h  1
  72  8.0332511e+05 1.33e+03 3.56e+01  -1.0 1.73e+05    -  5.61e-03 5.05e-03h  1
  73  8.0964400e+05 1.32e+03 3.57e+01  -1.0 2.02e+05    -  2.55e-04 5.98e-03h  1
  74  8.1238856e+05 1.32e+03 3.54e+01  -1.0 2.22e+05    -  5.81e-03 2.76e-03h  1
  75  8.2966264e+05 1.29e+03 3.56e+01  -1.0 2.14e+05    -  2.94e-03 1.81e-02h  1
  76  8.2986514e+05 1.29e+03 3.47e+01  -1.0 2.05e+05    -  1.69e-02 2.08e-04h  1
