
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:      864
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:     3276

Total number of variables............................:      468
                     variables with only lower bounds:      468
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      108
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.8587861e+03 2.00e+03 1.01e+02  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.8576830e+03 2.00e+03 1.01e+02  -1.0 4.98e+02    -  1.99e-04 1.99e-04h  1
   2  3.7839188e+03 2.00e+03 1.01e+02  -1.0 1.95e+03    -  1.01e-04 9.04e-04h  1
   3  6.7808168e+03 1.99e+03 1.01e+02  -1.0 2.00e+03    -  8.17e-04 2.20e-03h  1
   4  1.5424543e+04 1.98e+03 1.01e+02  -1.0 2.00e+03    -  1.41e-03 6.39e-03h  1
   5  4.0127789e+04 1.94e+03 1.00e+02  -1.0 1.98e+03    -  6.73e-03 1.84e-02h  1
   6  8.6654395e+04 1.87e+03 9.87e+01  -1.0 1.94e+03    -  1.14e-02 4.01e-02h  1
   7  1.0409686e+05 1.83e+03 9.72e+01  -1.0 3.37e+03    -  2.43e-02 1.85e-02h  1
   8  1.3929127e+05 1.77e+03 9.47e+01  -1.0 1.95e+03    -  3.70e-02 3.60e-02h  1
   9  2.1443480e+05 1.62e+03 9.01e+01  -1.0 1.78e+03    -  5.37e-02 8.12e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.3139284e+05 1.38e+03 8.23e+01  -1.0 1.62e+03    -  1.79e-01 1.51e-01h  1
  11  5.7233488e+05 7.56e+02 6.62e+01  -1.0 1.38e+03    -  9.37e-01 4.52e-01h  1
  12  6.3325757e+05 6.52e-09 3.76e+01  -1.0 7.55e+02    -  7.11e-01 1.00e+00h  1
  13  3.6017185e+05 3.26e-09 1.59e+01  -1.0 7.70e+01    -  1.00e+00 1.00e+00f  1
  14  2.1026010e+05 3.20e-09 6.88e+00  -1.0 1.03e+02    -  1.00e+00 9.63e-01f  1
  15  1.2232826e+05 2.00e-09 2.90e+00  -1.0 1.36e+02    -  5.11e-01 1.00e+00f  1
  16  7.2815352e+04 1.08e-09 1.22e+00  -1.0 1.81e+02    -  9.68e-01 1.00e+00f  1
  17  4.5102271e+04 5.90e-10 5.17e-01  -1.0 2.42e+02    -  1.00e+00 1.00e+00f  1
  18  2.8882592e+04 2.18e-10 2.18e-01  -1.7 3.21e+02    -  8.77e-01 1.00e+00f  1
  19  2.0043524e+04 1.27e-10 9.18e-02  -1.7 4.28e+02    -  8.54e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.4996392e+04 4.21e-11 3.87e-02  -2.5 5.69e+02    -  8.27e-01 1.00e+00f  1
  21  1.2228277e+04 3.41e-11 1.63e-02  -2.5 7.56e+02    -  1.00e+00 1.00e+00f  1
  22  1.1618925e+04 2.30e-11 2.07e-02  -3.8 1.00e+03    -  7.73e-01 2.96e-01f  1
  23  1.0747282e+04 1.68e-11 1.49e-02  -3.8 1.09e+03    -  1.00e+00 5.82e-01f  1
  24  1.0196028e+04 1.42e-11 2.40e-02  -3.8 1.29e+03    -  1.00e+00 5.27e-01f  1
  25  9.6275640e+03 2.46e-10 2.72e-01  -3.8 1.49e+03    -  1.00e+00 9.03e-01f  1
  26  9.6242895e+03 1.40e-10 4.29e-01  -3.8 1.94e+01  -4.0 1.75e-01 4.27e-01f  1
  27  9.4387568e+03 7.53e-11 4.41e-01  -3.8 1.85e+03    -  1.81e-01 4.62e-01f  1
  28  9.3752261e+03 6.09e-11 3.53e-01  -3.8 2.05e+03    -  4.48e-01 1.99e-01f  1
  29  9.1994071e+03 3.55e-11 8.55e-02  -3.8 2.13e+03    -  8.16e-01 8.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  9.1994059e+03 3.33e-11 7.35e-02  -3.8 1.86e-01  -1.8 1.15e-01 5.53e-02f  1
  31  9.1803651e+03 3.07e-11 7.00e-02  -3.8 2.39e+03    -  6.70e-02 1.46e-01f  1
  32  9.1803717e+03 2.95e-11 7.03e-02  -3.8 3.35e-01  -2.2 5.15e-03 4.48e-02f  1
  33  9.1798658e+03 3.22e-11 6.98e-02  -3.8 2.41e+03    -  6.44e-05 4.15e-03f  1
  34  9.1798686e+03 3.27e-11 6.98e-02  -3.8 9.34e+03    -  8.56e-10 2.20e-06f  2
  35  9.1798739e+03 6.87e-12 1.92e-02  -3.8 1.13e-02  -0.9 7.50e-01 3.92e-01f  2
  36  9.1042056e+03 2.21e-11 1.16e-02  -3.8 2.41e+03    -  1.00e+00 1.00e+00f  1
  37  9.1042077e+03 4.07e-12 1.39e-03  -3.8 7.76e-03  -1.4 1.00e+00 1.00e+00f  1
  38  9.0903816e+03 8.71e-12 1.24e-02  -5.7 2.28e+03    -  8.45e-01 4.17e-01f  1
  39  9.0900378e+03 6.21e-12 5.40e-02  -5.7 4.33e-02  -1.9 1.00e+00 2.84e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  9.0897756e+03 3.94e-12 4.38e-02  -5.7 7.46e-02  -2.3 1.00e+00 3.64e-01f  1
  41  9.0790587e+03 1.03e-11 2.08e-02  -5.7 2.05e+03    -  1.00e+00 7.36e-01f  1
  42  9.0759964e+03 2.70e-12 5.49e-03  -5.7 1.40e+03    -  1.00e+00 1.00e+00f  1
  43  9.0759873e+03 2.36e-13 1.05e-03  -5.7 4.31e-03  -2.8 1.00e+00 1.00e+00f  1
  44  9.0759866e+03 4.83e-13 3.37e-05  -5.7 1.29e-02  -3.3 1.00e+00 1.00e+00h  1
  45  9.0759866e+03 4.72e-13 6.46e-06  -5.7 3.88e-02  -3.8 1.00e+00 1.00e+00h  1
  46  9.0759651e+03 1.91e-13 9.31e-04  -8.6 1.16e-01  -4.3 1.00e+00 8.98e-01f  1
  47  9.0759611e+03 2.27e-13 6.14e-04  -8.6 3.49e-01  -4.7 1.00e+00 8.60e-01f  1
  48  9.0759602e+03 3.03e-13 2.50e-04  -8.6 1.04e+00  -5.2 1.00e+00 7.83e-01f  1
  49  9.0759588e+03 2.08e-13 2.13e-04  -8.6 3.10e+00  -5.7 1.00e+00 7.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.0759540e+03 4.32e-13 5.07e-03  -8.6 9.06e+00  -6.2 8.21e-02 9.37e-01f  1
  51  9.0759522e+03 2.92e-13 6.15e-06  -8.6 3.37e+00  -5.7 1.00e+00 1.00e+00f  1
  52  9.0759471e+03 2.88e-13 5.96e-06  -8.6 9.79e+00  -6.2 1.00e+00 1.00e+00f  1
  53  9.0759452e+03 2.45e-13 5.89e-06  -8.6 3.63e+00  -5.8 1.00e+00 1.00e+00f  1
  54  9.0759399e+03 7.28e-13 5.68e-06  -8.6 1.05e+01  -6.3 1.00e+00 1.00e+00f  1
  55  9.0759380e+03 2.47e-13 5.61e-06  -8.6 3.88e+00  -5.8 1.00e+00 1.00e+00f  1
  56  9.0759373e+03 2.27e-13 5.58e-06  -8.6 1.45e+00  -5.4 1.00e+00 1.00e+00f  1
  57  9.0759353e+03 3.70e-13 5.49e-06  -8.6 4.28e+00  -5.9 1.00e+00 1.00e+00f  1
  58  9.0759345e+03 3.54e-13 5.46e-06  -8.6 1.60e+00  -5.5 1.00e+00 1.00e+00f  1
  59  9.0759324e+03 3.43e-13 5.37e-06  -8.6 4.71e+00  -5.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  9.0759315e+03 2.88e-13 5.34e-06  -8.6 1.75e+00  -5.5 1.00e+00 1.00e+00f  1
  61  9.0759292e+03 3.09e-13 5.23e-06  -8.6 5.16e+00  -6.0 1.00e+00 1.00e+00f  1
  62  9.0759283e+03 2.28e-13 5.20e-06  -8.6 1.92e+00  -5.6 1.00e+00 1.00e+00f  1
  63  9.0759259e+03 2.27e-13 5.09e-06  -8.6 5.65e+00  -6.0 1.00e+00 1.00e+00f  1
  64  9.0759192e+03 2.87e-13 4.78e-06  -8.6 1.59e+01  -6.5 1.00e+00 1.00e+00f  1
  65  9.0759168e+03 2.10e-13 4.67e-06  -8.6 5.82e+00  -6.1 1.00e+00 1.00e+00f  1
  66  9.0759106e+03 1.97e-12 4.35e-06  -8.6 1.63e+01  -6.6 1.00e+00 1.00e+00f  1
  67  9.0759084e+03 1.79e-13 4.24e-06  -8.6 5.95e+00  -6.1 1.00e+00 1.00e+00f  1
  68  9.0759027e+03 2.53e-12 3.92e-06  -8.6 1.65e+01  -6.6 1.00e+00 1.00e+00f  1
  69  9.0759007e+03 2.56e-13 3.81e-06  -8.6 6.01e+00  -6.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  9.0759000e+03 4.15e-13 3.76e-06  -8.6 2.23e+00  -5.8 1.00e+00 1.00e+00f  1
  71  9.0758979e+03 2.83e-13 3.64e-06  -8.6 6.47e+00  -6.2 1.00e+00 1.00e+00f  1
  72  9.0758972e+03 3.11e-13 3.59e-06  -8.6 2.40e+00  -5.8 1.00e+00 1.00e+00f  1
  73  9.0758951e+03 2.03e-13 3.46e-06  -8.6 6.92e+00  -6.3 1.00e+00 1.00e+00f  1
  74  9.0758943e+03 3.15e-13 3.41e-06  -8.6 2.56e+00  -5.9 1.00e+00 1.00e+00f  1
