
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:      864
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:     3276

Total number of variables............................:      468
                     variables with only lower bounds:      468
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      108
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.5215002e+03 2.00e+03 1.01e+02  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.5206509e+03 2.00e+03 1.01e+02  -1.0 5.01e+02    -  1.98e-04 1.98e-04h  1
   2  3.1204223e+03 2.00e+03 1.01e+02  -1.0 1.99e+03    -  9.96e-05 9.04e-04h  1
   3  5.1839306e+03 1.99e+03 1.01e+02  -1.0 2.01e+03    -  8.24e-04 2.16e-03h  1
   4  1.1725145e+04 1.98e+03 1.01e+02  -1.0 2.00e+03    -  1.36e-03 6.42e-03h  1
   5  3.0233642e+04 1.94e+03 1.00e+02  -1.0 1.98e+03    -  6.75e-03 1.82e-02h  1
   6  6.3474258e+04 1.87e+03 9.87e+01  -1.0 1.95e+03    -  1.12e-02 3.89e-02h  1
   7  7.1865196e+04 1.85e+03 9.77e+01  -1.0 3.36e+03    -  2.39e-02 1.25e-02h  1
   8  9.7206854e+04 1.78e+03 9.52e+01  -1.0 2.16e+03    -  3.35e-02 3.58e-02h  1
   9  1.4885908e+05 1.65e+03 9.09e+01  -1.0 1.81e+03    -  4.95e-02 7.50e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.2073909e+05 1.44e+03 8.41e+01  -1.0 1.65e+03    -  1.34e-01 1.22e-01h  1
  11  4.5748524e+05 6.11e+02 6.73e+01  -1.0 1.45e+03    -  1.74e-02 5.77e-01h  1
  12  4.1038468e+05 5.86e+02 6.47e+01  -1.0 9.00e+03    -  8.11e-03 4.12e-02f  1
  13  3.8247829e+05 5.75e+02 6.35e+01  -1.0 1.38e+04    -  3.16e-02 1.90e-02f  1
  14  3.5798534e+05 5.68e+02 6.27e+01  -1.0 2.84e+04    -  2.34e-04 1.22e-02f  1
  15  3.5791432e+05 5.68e+02 6.27e+01  -1.0 1.66e+04    -  8.58e-03 2.12e-04f  1
  16  3.3878707e+05 3.60e+02 4.63e+01  -1.0 5.95e+02    -  7.36e-02 3.65e-01f  1
  17  3.1296185e+05 2.87e+02 3.84e+01  -1.0 1.16e+03    -  1.11e-01 2.03e-01f  1
  18  2.9037042e+05 2.37e+02 3.26e+01  -1.0 1.23e+03    -  2.53e-01 1.73e-01f  1
  19  2.0583904e+05 6.21e-09 1.50e+01  -1.0 4.61e+02    -  1.16e-02 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.9978084e+05 6.02e-09 1.44e+01  -1.0 2.14e+03    -  8.01e-02 4.10e-02f  1
  21  1.5969204e+05 4.49e-09 1.01e+01  -1.0 1.98e+03    -  2.33e-01 3.75e-01f  1
  22  1.2909175e+05 3.52e-09 7.34e+00  -1.0 8.76e+02  -4.0 3.53e-02 3.38e-01f  1
  23  1.1582243e+05 3.42e-09 6.81e+00  -1.0 1.53e+04    -  1.05e-02 7.56e-02f  1
  24  1.0948289e+05 3.35e-09 6.57e+00  -1.0 7.15e+03  -4.5 4.80e-03 3.65e-02f  1
  25  1.0885177e+05 3.35e-09 6.53e+00  -1.0 5.97e+03    -  2.33e-01 5.97e-03f  1
  26  1.0073818e+05 3.25e-09 6.09e+00  -1.0 7.81e+03    -  6.79e-03 6.51e-02f  1
  27  8.1447152e+04 3.25e-09 4.90e+00  -1.0 1.12e+06    -  2.23e-04 2.34e-03f  1
  28  8.1263929e+04 3.25e-09 5.02e+00  -1.0 1.51e+04  -5.0 4.09e-01 1.20e-03f  1
  29  6.5323847e+04 3.15e-09 3.96e+00  -1.0 8.38e+01  -1.8 3.34e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  5.5883018e+04 2.15e-09 1.71e+00  -1.0 1.45e+03    -  9.81e-02 3.21e-01f  1
  31  3.5657752e+04 1.22e-09 1.16e+00  -1.0 1.59e+03    -  4.67e-01 1.00e+00f  1
  32  2.4371620e+04 3.60e-10 5.56e-01  -1.0 2.10e+03    -  7.57e-01 1.00e+00f  1
  33  1.8191333e+04 1.63e-10 1.91e-01  -1.7 2.64e+03    -  6.25e-01 8.95e-01f  1
  34  1.5187179e+04 9.79e-11 8.15e-02  -2.5 3.25e+03    -  7.84e-01 6.80e-01f  1
  35  1.3247133e+04 5.91e-11 6.33e-02  -2.5 3.66e+03    -  9.88e-01 6.63e-01f  1
  36  1.3242122e+04 5.70e-11 4.38e-02  -2.5 1.66e-02   0.4 1.00e+00 1.00e+00f  1
  37  1.3195528e+04 5.50e-11 4.26e-02  -2.5 9.58e+03    -  5.49e-04 1.59e-02f  1
  38  1.2427351e+04 2.55e-11 3.34e-02  -2.5 3.89e+03    -  1.62e-01 3.41e-01f  1
  39  1.2422537e+04 1.31e-10 3.33e-01  -2.5 3.87e-01  -0.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.2414483e+04 1.24e-10 2.15e-02  -2.5 7.48e-02  -0.5 1.00e+00 1.00e+00f  1
  41  1.2394787e+04 3.83e-11 5.63e-02  -3.8 2.24e-01  -1.0 9.25e-01 7.07e-01f  1
  42  1.2381548e+04 2.45e-11 2.15e-02  -3.8 6.71e-01  -1.5 8.65e-01 4.69e-01f  1
  43  1.2374567e+04 2.02e-11 2.15e-02  -3.8 2.01e+00  -2.0 6.75e-01 2.85e-01f  1
  44  1.2368389e+04 1.74e-11 2.14e-02  -3.8 5.99e+00  -2.4 9.30e-01 2.15e-01f  1
  45  1.2366800e+04 1.72e-11 2.14e-02  -3.8 6.88e+01  -2.9 3.24e-02 1.71e-02f  1
  46  1.2364072e+04 1.60e-11 3.05e-02  -3.8 6.71e+00  -2.5 7.70e-01 1.11e-01f  1
  47  1.2358484e+04 1.00e-11 2.13e-02  -3.8 2.53e+00  -2.1 1.00e+00 5.48e-01f  1
  48  1.2354491e+04 4.78e-12 2.13e-02  -3.8 9.48e-01  -1.6 1.00e+00 1.00e+00f  1
  49  1.2353500e+04 3.51e-12 2.13e-02  -3.8 3.55e-01  -1.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.2352997e+04 2.92e-12 2.13e-02  -3.8 1.51e+00  -1.7 1.00e+00 1.42e-01f  1
  51  1.2350501e+04 2.34e-12 2.12e-02  -3.8 3.18e+00  -2.2 1.00e+00 3.11e-01f  2
  52  1.2349311e+04 2.09e-12 2.12e-02  -3.8 1.20e+00  -1.8 1.00e+00 3.81e-01f  2
  53  1.2349159e+04 2.72e-12 3.31e-02  -3.8 1.35e+01  -2.2 9.03e-02 9.43e-03f  2
  54  1.2329321e+04 2.17e-12 7.82e-02  -3.8 1.06e+01  -2.7 1.00e+00 7.75e-01f  1
  55  1.2328072e+04 2.20e-12 7.31e-02  -3.8 3.96e+00  -2.3 1.00e+00 1.13e-01f  2
  56  1.2327558e+04 1.93e-12 7.31e-02  -3.8 5.21e+01  -2.8 1.34e-01 9.40e-03f  2
  57  1.2324530e+04 1.89e-12 5.18e-02  -3.8 4.45e+00  -2.3 1.00e+00 2.75e-01f  2
  58  1.2324231e+04 1.94e-12 6.02e-02  -3.8 7.28e+01  -2.8 1.80e-01 5.14e-03f  2
  59  1.2307628e+04 1.50e-12 4.58e-02  -3.8 3.76e+01  -3.3 2.40e-01 1.94e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.2283684e+04 7.82e-12 2.02e-01  -3.8 1.46e+01  -2.9 3.06e-01 7.46e-01f  1
  61  1.2233695e+04 4.00e-12 3.67e-02  -3.8 4.10e+01  -3.3 1.00e+00 5.56e-01f  1
  62  1.2068286e+04 4.99e-12 3.61e-02  -3.8 1.05e+02  -3.8 4.22e-01 7.24e-01f  1
  63  1.1991600e+04 4.39e-12 2.53e-02  -3.8 2.21e+02  -4.3 5.00e-01 1.61e-01f  1
  64  1.1965107e+04 3.89e-12 2.30e-02  -3.8 1.01e+02  -3.9 1.00e+00 1.35e-01f  1
  65  1.1656449e+04 7.11e-12 1.31e-02  -3.8 2.30e+02  -4.3 6.49e-01 7.41e-01f  1
  66  1.1602336e+04 6.53e-12 1.24e-02  -3.8 3.96e+02  -4.8 2.41e-01 7.90e-02f  1
  67  1.1564354e+04 1.03e-11 1.16e-02  -3.8 2.11e+02  -4.4 1.32e-01 1.13e-01f  1
  68  1.1001391e+04 2.09e-11 7.03e-03  -3.8 4.07e+02  -4.9 7.46e-01 1.00e+00f  1
  69  1.1000455e+04 2.08e-11 4.47e-02  -3.8 4.01e+03  -4.4 4.77e-01 2.12e-03f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.1000328e+04 1.70e-12 7.03e-03  -3.8 1.43e-01  -1.3 9.60e-01 6.82e-01f  1
  71  1.0999851e+04 3.79e-12 7.03e-03  -3.8 4.29e-01  -1.8 1.00e+00 1.00e+00f  1
  72  1.0998424e+04 1.58e-12 7.02e-03  -3.8 1.28e+00  -2.3 9.85e-01 1.00e+00f  1
  73  1.0994240e+04 4.51e-13 6.99e-03  -3.8 3.84e+00  -2.7 1.00e+00 1.00e+00f  1
  74  1.0982025e+04 6.03e-13 6.91e-03  -3.8 1.14e+01  -3.2 1.00e+00 1.00e+00f  1
