
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     9690
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:     2890

Total number of variables............................:     2890
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      727
                     variables with only upper bounds:     2163
Total number of equality constraints.................:     1649
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.1321088e+09 4.87e+09 9.80e-01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1r 2.1321088e+09 4.87e+09 9.99e+02   9.7 0.00e+00  -2.0 0.00e+00 8.28e-09R  4
   2r 4.5378702e+09 4.87e+09 4.72e+11   9.7 7.11e+09    -  9.70e-01 1.51e-04f  6
   3r 4.5126651e+09 4.83e+09 1.18e+11   4.1 9.50e+07    -  6.78e-01 4.64e-01f  1
   4r 4.5089884e+09 4.82e+09 1.16e+11   4.1 2.69e+08    -  1.55e-02 2.22e-01f  1
   5r 4.5255214e+09 4.82e+09 1.14e+11   4.1 2.65e+09    -  2.08e-02 1.58e-01f  1
   6r 4.5313619e+09 4.82e+09 9.45e+10   4.1 2.28e+09    -  1.71e-01 6.78e-02f  1
   7r 4.5600196e+09 4.82e+09 8.57e+10   4.1 2.12e+09    -  9.32e-02 2.16e-01f  1
   8r 4.5683479e+09 4.82e+09 5.12e+10   4.1 1.54e+09    -  4.03e-01 8.72e-02f  1
   9r 4.5684614e+09 4.82e+09 5.07e+10   4.1 1.78e+08    -  9.18e-03 4.40e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 4.5686471e+09 4.82e+09 5.00e+10   4.1 6.50e+08    -  1.42e-02 5.18e-02f  1
  11r 4.5691793e+09 4.82e+09 4.76e+10   4.1 6.34e+08    -  4.67e-02 7.75e-02f  1
  12r 4.5717628e+09 4.82e+09 4.40e+10   4.1 6.00e+08    -  7.72e-02 2.03e-01f  1
  13r 4.5723950e+09 4.82e+09 2.75e+10   4.1 4.89e+08    -  3.74e-01 1.35e-01f  1
  14r 4.5749806e+09 4.82e+09 1.47e+10   4.1 4.28e+08    -  4.67e-01 4.43e-01f  1
  15r 4.5770913e+09 4.82e+09 7.07e+09   4.1 2.38e+08    -  5.18e-01 4.67e-01f  1
  16r 4.5771888e+09 4.82e+09 6.14e+09   4.1 7.37e+07    -  1.32e-01 4.13e-02f  1
  17r 4.5803997e+09 4.82e+09 5.68e+09   4.1 1.13e+08    -  7.45e-02 6.54e-01f  1
  18r 4.5817206e+09 4.82e+09 1.51e+09   4.1 4.06e+07    -  7.34e-01 8.13e-01f  1
  19r 4.5812669e+09 4.82e+09 1.52e+08   4.1 8.44e+06    -  8.99e-01 7.35e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 4.5788579e+09 4.82e+09 1.36e+08   4.1 2.98e+06    -  1.06e-01 5.74e-01f  1
  21r 4.5766423e+09 4.82e+09 1.17e+08   4.1 1.46e+06    -  1.37e-01 5.06e-01f  1
  22r 4.5740715e+09 4.82e+09 6.65e+07   4.1 7.96e+05    -  4.34e-01 5.22e-01f  1
  23r 4.5687175e+09 4.82e+09 5.68e+07   4.1 4.22e+05    -  1.45e-01 6.29e-01f  1
  24r 4.5629875e+09 4.82e+09 1.11e+07   4.1 1.68e+05    -  8.04e-01 5.80e-01f  1
  25r 4.5330241e+09 4.82e+09 9.36e+06   4.1 7.53e+04    -  1.59e-01 6.08e-01f  1
  26r 4.5023251e+09 4.82e+09 4.68e+06   4.1 5.02e+04    -  5.00e-01 5.35e-01f  1
  27r 4.4299165e+09 4.82e+09 3.76e+06   4.1 1.63e+05    -  1.96e-01 6.60e-01f  1
  28r 4.3483223e+09 4.82e+09 2.98e+06   4.1 3.59e+05    -  2.07e-01 6.34e-01f  1
  29r 4.2308819e+09 4.82e+09 1.76e+06   4.1 7.34e+05    -  4.10e-01 7.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 4.0690612e+09 4.82e+09 6.92e+05   4.1 1.14e+06    -  6.08e-01 7.24e-01f  1
  31r 3.6520812e+09 4.82e+09 5.66e+05   4.1 1.28e+06    -  1.96e-01 1.00e+00f  1
  32r 3.3083461e+09 4.82e+09 4.46e+05   4.1 5.29e+05    -  2.29e-01 1.00e+00f  1
  33r 3.0240273e+09 4.82e+09 3.11e+05   4.1 4.95e+05    -  3.19e-01 1.00e+00f  1
  34r 2.7786445e+09 4.82e+09 1.61e+05   4.1 1.38e+06    -  5.00e-01 1.00e+00f  1
  35r 2.5480473e+09 4.82e+09 8.26e+04   4.1 7.65e+05    -  5.24e-01 1.00e+00f  1
  36r 2.3860968e+09 4.82e+09 9.25e+02   4.1 2.33e+05    -  1.00e+00 9.26e-01f  1
  37r 2.2260719e+09 4.82e+09 1.07e+04   3.4 2.24e+05    -  1.00e+00 9.97e-01f  1
  38r 2.2266181e+09 4.82e+09 8.84e+03   3.4 7.80e+08    -  1.56e-01 6.15e-02f  1
  39r 2.2266224e+09 4.82e+09 2.26e+03   3.4 7.31e+08    -  9.36e-01 6.60e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 2.2266147e+09 4.82e+09 2.26e+03   3.4 6.74e+08    -  1.21e-02 6.30e-03f  1
  41r 2.2481414e+09 4.82e+09 7.59e+02   3.4 6.69e+08    -  2.71e-01 7.48e-01f  1
  42r 2.2494510e+09 4.82e+09 2.54e+03   2.7 1.69e+08    -  7.62e-01 1.45e-01f  1
  43r 2.3021579e+09 4.82e+09 1.91e+03   2.7 1.75e+09    -  3.31e-01 2.02e-01f  1
  44r 2.3433265e+09 4.82e+09 1.60e+03   2.7 1.40e+09    -  7.47e-01 1.65e-01f  1
  45r 2.3437616e+09 4.82e+09 1.65e+03   2.7 1.17e+09    -  8.70e-01 1.98e-03f  1
  46r 2.3437657e+09 4.82e+09 1.80e+03   2.7 5.99e+08    -  4.47e-01 3.86e-05f  1
  47r 2.3416032e+09 4.82e+09 1.36e+03   2.7 8.05e+03    -  2.79e-03 2.16e-01f  1
  48r 2.3425522e+09 4.82e+09 8.21e+02   2.7 2.79e+07    -  2.91e-05 3.43e-01f  1
  49r 2.3937486e+09 4.82e+09 6.47e+02   2.7 7.20e+08    -  1.31e-02 2.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 2.4169451e+09 4.82e+09 1.10e+03   2.7 5.67e+08    -  9.54e-01 1.15e-01f  1
  51r 2.4627016e+09 4.82e+09 1.19e+03   2.7 5.02e+08    -  1.00e+00 2.44e-01f  1
  52r 2.4631729e+09 4.82e+09 2.36e+03   2.0 3.79e+08    -  5.07e-01 3.24e-03f  1
  53r 2.4631778e+09 4.82e+09 2.36e+03   2.0 1.06e+09    -  3.19e-01 1.16e-05f  1
  54r 2.4640726e+09 4.82e+09 1.86e+03   2.0 3.49e+03    -  3.06e-01 2.14e-01f  1
  55r 2.4646630e+09 4.82e+09 1.57e+03   2.0 3.55e+03    -  9.00e-02 1.54e-01f  1
  56r 2.4649779e+09 4.82e+09 1.43e+03   2.0 3.45e+03    -  3.30e-01 9.24e-02f  1
  57r 2.4654536e+09 4.82e+09 1.21e+03   2.0 3.84e+03    -  1.60e-01 1.55e-01f  1
  58r 2.4657913e+09 4.82e+09 1.05e+03   2.0 3.63e+03    -  3.33e-01 1.33e-01f  1
  59r 2.4660897e+09 4.82e+09 8.99e+02   2.0 3.84e+03    -  1.64e-01 1.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 2.4664495e+09 4.82e+09 7.27e+02   2.0 3.88e+03    -  1.70e-01 1.91e-01f  1
  61r 2.4666021e+09 4.82e+09 6.53e+02   2.0 3.79e+03    -  2.73e-01 1.01e-01f  1
  62r 2.4668790e+09 4.82e+09 6.53e+02   2.0 4.07e+03    -  4.53e-01 2.02e-01f  1
  63r 2.4670905e+09 4.82e+09 5.22e+02   2.0 4.35e+03    -  1.68e-01 1.90e-01f  1
  64r 2.4672279e+09 4.82e+09 5.05e+02   2.0 3.93e+03    -  3.25e-01 1.48e-01f  1
  65r 2.4673688e+09 4.82e+09 6.61e+02   2.0 3.80e+03    -  6.43e-01 1.75e-01f  1
  66r 2.4675476e+09 4.82e+09 5.79e+02   2.0 3.71e+03    -  5.58e-01 2.61e-01f  1
  67r 2.4676411e+09 4.82e+09 5.39e+02   2.0 2.94e+03    -  5.05e-01 1.79e-01f  1
  68r 2.4677698e+09 4.82e+09 2.15e+03   1.3 7.73e+03    -  3.93e-01 3.06e-01f  1
  69r 2.4739364e+09 4.82e+09 1.59e+03   1.3 3.16e+03    -  2.22e-01 2.61e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 2.4820755e+09 4.82e+09 1.02e+03   1.3 2.34e+03    -  3.61e-01 3.60e-01f  1
  71r 2.4926638e+09 4.82e+09 2.28e+03   0.6 3.58e+03    -  4.93e-01 5.93e-01f  1
  72r 2.5336779e+09 4.82e+09 1.53e+03   0.6 7.58e+03    -  2.50e-01 3.31e-01f  1
  73r 2.6115112e+09 4.82e+09 5.43e+02   0.6 5.07e+03    -  4.49e-01 6.44e-01f  1
  74r 2.6630599e+09 4.82e+09 3.08e+01   0.6 1.80e+03    -  6.97e-01 9.43e-01f  1
  75r 2.6658874e+09 4.82e+09 2.10e+03  -0.1 1.62e+03    -  8.95e-01 8.49e-01f  1
  76r 2.9263278e+09 4.82e+09 1.25e+03  -0.1 1.58e+04    -  3.48e-01 4.07e-01f  1
