
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     5992
Number of nonzeros in inequality constraint Jacobian.:     1000
Number of nonzeros in Lagrangian Hessian.............:      500

Total number of variables............................:     2998
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1500
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2000
Total number of inequality constraints...............:      500
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:      500
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.6633485e+01 2.50e+01 1.45e-02  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.6695369e+01 2.44e+01 2.16e-01  -1.0 1.87e+00    -  2.70e-02 2.43e-02f  1
   2  1.6739742e+01 2.41e+01 9.53e+00  -1.0 2.15e+00    -  5.13e-02 1.17e-02h  1
   3  1.6788151e+01 2.40e+01 3.33e+01  -1.0 2.96e+00    -  1.71e-02 5.96e-03h  1
   4  1.6803192e+01 2.39e+01 3.70e+02  -1.0 4.20e+00    -  6.53e-03 1.13e-03h  1
   5  1.6818650e+01 2.39e+01 3.82e+02  -1.0 5.37e+00    -  1.37e-03 9.82e-04h  1
   6  1.6866960e+01 2.38e+01 5.55e+03  -1.0 6.00e+00    -  2.37e-04 2.83e-03h  1
   7  1.6872482e+01 2.38e+01 6.46e+03  -1.0 1.14e+01    -  1.34e-03 3.02e-04h  1
   8  1.6894213e+01 2.38e+01 5.51e+03  -1.0 1.54e+01    -  2.96e-05 1.04e-03h  1
   9  1.6895973e+01 2.38e+01 5.51e+03  -1.0 2.13e+01    -  2.75e-04 7.76e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.6905324e+01 2.38e+01 5.51e+03  -1.0 2.24e+01    -  2.40e-06 3.99e-04h  1
  11  1.6908465e+01 2.38e+01 5.50e+03  -1.0 2.23e+01    -  4.39e-04 1.40e-04h  1
  12  1.6911387e+01 2.38e+01 5.50e+03  -1.0 3.44e+01    -  1.02e-04 1.04e-04h  1
  13  1.6920025e+01 2.38e+01 5.50e+03  -1.0 3.20e+01    -  2.52e-06 3.34e-04h  1
  14  1.6920786e+01 2.38e+01 6.36e+03  -1.0 4.20e+01    -  1.85e-04 2.49e-05h  1
  15  1.6926867e+01 2.38e+01 5.50e+03  -1.0 3.89e+01    -  1.67e-06 1.94e-04h  1
  16  1.6929831e+01 2.38e+01 5.50e+03  -1.0 4.44e+01    -  1.36e-04 1.15e-04h  1
  17  1.6930531e+01 2.38e+01 8.50e+03  -1.0 4.90e+01    -  1.70e-04 1.94e-05h  1
  18  1.6939637e+01 2.38e+01 7.29e+03  -1.0 6.61e+01    -  1.46e-06 2.42e-04h  1
  19  1.6942083e+01 2.38e+01 7.47e+03  -1.0 4.82e+01    -  6.51e-05 8.64e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 1.6942083e+01 2.38e+01 9.99e+02   1.4 0.00e+00    -  0.00e+00 3.09e-07R  6
  21r 1.6928506e+01 2.38e+01 9.98e+02   1.4 3.02e+02    -  3.67e-04 6.39e-04f  1
  22r 1.6923501e+01 2.38e+01 9.98e+02   0.7 3.09e+02    -  6.79e-04 6.45e-04f  1
  23r 1.6917969e+01 2.37e+01 9.97e+02   0.7 3.18e+02    -  8.12e-04 5.84e-04f  1
  24r 1.6911508e+01 2.37e+01 9.97e+02   0.7 2.94e+02    -  7.26e-04 6.87e-04f  1
  25r 1.6904942e+01 2.37e+01 9.96e+02   0.7 2.70e+02    -  8.00e-04 7.12e-04f  1
  26r 1.6898049e+01 2.37e+01 9.95e+02   0.7 2.42e+02    -  8.44e-04 7.80e-04f  1
  27r 1.6890492e+01 2.37e+01 9.94e+02   0.7 2.12e+02    -  8.07e-04 8.87e-04f  1
  28r 1.6882900e+01 2.37e+01 9.93e+02   0.7 1.83e+02    -  8.13e-04 9.40e-04f  1
  29r 1.6875754e+01 2.37e+01 9.92e+02   0.7 1.58e+02    -  9.22e-04 9.62e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 1.6868135e+01 2.37e+01 9.91e+02   0.7 1.37e+02    -  1.02e-03 1.10e-03f  1
  31r 1.6858833e+01 2.37e+01 9.90e+02   0.7 1.20e+02    -  1.18e-03 1.43e-03f  1
  32r 1.6852022e+01 2.37e+01 9.89e+02   0.7 1.03e+02    -  1.39e-03 1.15e-03f  1
  33r 1.6844437e+01 2.37e+01 9.87e+02   0.7 9.12e+01    -  1.36e-03 1.33e-03f  1
  34r 1.6836446e+01 2.37e+01 9.86e+02   0.7 8.02e+01    -  1.76e-03 1.50e-03f  1
  35r 1.6829037e+01 2.37e+01 9.84e+02   0.7 7.12e+01    -  1.69e-03 1.43e-03f  1
  36r 1.6819707e+01 2.37e+01 9.83e+02   0.7 6.41e+01    -  2.26e-03 1.94e-03f  1
  37r 1.6810696e+01 2.38e+01 9.81e+02   0.7 5.73e+01    -  2.24e-03 1.94e-03f  1
  38r 1.6800975e+01 2.38e+01 9.78e+02   0.7 5.21e+01    -  2.66e-03 2.28e-03f  1
  39r 1.6790151e+01 2.38e+01 9.76e+02   0.7 4.77e+01    -  3.07e-03 2.69e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 1.6778649e+01 2.38e+01 9.73e+02   0.7 4.38e+01    -  3.60e-03 3.15e-03f  1
  41r 1.6766836e+01 2.39e+01 9.69e+02   0.7 4.05e+01    -  4.14e-03 3.57e-03f  1
  42r 1.6754784e+01 2.39e+01 9.65e+02   0.7 3.77e+01    -  4.93e-03 4.13e-03f  1
  43r 1.6742362e+01 2.40e+01 9.60e+02   0.7 3.54e+01    -  6.23e-03 4.92e-03f  1
  44r 1.6728889e+01 2.40e+01 9.54e+02   0.7 3.35e+01    -  7.15e-03 6.23e-03f  1
  45r 1.6716271e+01 2.41e+01 9.48e+02   0.7 3.16e+01    -  9.32e-03 7.26e-03f  1
  46r 1.6702588e+01 2.42e+01 9.38e+02   0.7 3.03e+01    -  1.16e-02 9.57e-03f  1
  47r 1.6689889e+01 2.43e+01 9.27e+02   0.7 2.91e+01    -  1.59e-02 1.19e-02f  1
  48r 1.6678298e+01 2.44e+01 9.12e+02   0.7 2.83e+01    -  2.07e-02 1.61e-02f  1
  49r 1.6672506e+01 2.46e+01 8.94e+02   0.7 2.77e+01    -  2.46e-02 2.00e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 1.6677387e+01 2.48e+01 8.73e+02   0.7 2.77e+01    -  2.91e-02 2.33e-02f  1
  51r 1.6700782e+01 2.51e+01 8.50e+02   0.7 2.83e+01    -  3.34e-02 2.68e-02f  1
  52r 1.6761026e+01 2.55e+01 8.23e+02   0.7 2.96e+01    -  3.83e-02 3.14e-02f  1
  53r 1.6888212e+01 2.59e+01 7.95e+02   0.7 3.11e+01    -  4.36e-02 3.45e-02f  1
  54r 1.7184839e+01 2.65e+01 7.58e+02   0.7 3.13e+01    -  2.86e-02 4.62e-02f  1
  55r 1.7494156e+01 2.68e+01 7.59e+02   0.7 2.66e+01    -  2.58e-02 3.63e-02f  1
  56r 1.7805660e+01 2.70e+01 8.71e+02   0.7 2.72e+01    -  1.21e-02 2.88e-02f  1
  57r 1.7979299e+01 2.71e+01 8.04e+02   0.7 5.15e+00   2.0 7.41e-02 8.30e-02f  1
  58r 1.8608280e+01 2.73e+01 7.46e+02   0.7 1.54e+01   1.5 7.23e-02 8.92e-02f  1
  59r 1.8933599e+01 2.73e+01 7.16e+02   0.7 7.21e+01   1.0 1.98e-02 7.79e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.9583131e+01 2.73e+01 6.63e+02   0.7 1.34e+01   1.5 7.59e-02 7.70e-02f  1
  61r 1.9923629e+01 2.73e+01 6.17e+02   0.7 3.86e+00   1.9 1.64e-01 1.13e-01f  1
  62r 2.1399546e+01 2.69e+01 6.38e+02   0.7 4.09e+01   1.4 3.16e-02 4.57e-02f  1
  63r 2.2444605e+01 2.62e+01 6.48e+02   0.7 5.18e+00   1.8 2.34e-02 1.37e-01f  1
  64r 2.2660665e+01 2.60e+01 5.70e+02   0.7 2.71e+00   2.3 1.17e-01 9.53e-02f  1
  65r 2.3436403e+01 2.50e+01 5.58e+02   0.7 2.07e+01   1.8 3.95e-02 4.77e-02f  1
  66r 2.3720360e+01 2.47e+01 5.10e+02   0.7 3.50e+00   2.2 8.89e-02 9.34e-02f  1
  67r 2.4774721e+01 2.33e+01 5.50e+02   0.7 3.65e+01   1.7 3.33e-02 3.92e-02f  1
  68r 2.5165072e+01 2.28e+01 5.66e+02   0.7 4.85e+00   2.2 9.86e-02 9.74e-02f  1
  69r 2.6216892e+01 2.17e+01 6.01e+02   0.7 3.09e+01   1.7 2.90e-02 3.61e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 2.6869163e+01 2.10e+01 6.09e+02   0.7 5.03e+00   2.1 1.39e-01 1.38e-01f  1
  71  2.6957545e+01 2.09e+01 8.27e+02  -1.0 3.61e+00    -  2.17e-03 4.07e-03h  1
  72  2.6963269e+01 2.09e+01 9.03e+02  -1.0 9.09e+00    -  1.80e-03 2.17e-04h  1
  73  2.7003708e+01 2.08e+01 9.35e+02  -1.0 1.46e+01    -  2.15e-03 1.46e-03h  1
  74  2.7032852e+01 2.08e+01 9.88e+02  -1.0 1.69e+01    -  2.07e-03 1.06e-03h  1
  75  2.7062256e+01 2.08e+01 9.96e+02  -1.0 1.77e+01    -  1.22e-03 1.06e-03h  1
  76  2.7097978e+01 2.08e+01 1.01e+03  -1.0 1.42e+01    -  1.47e-03 1.32e-03h  1
